time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,32.5,25.8,7.70,63,8.4
2024-08-23,31.9,25.5,1.00,51,11.8
2024-08-24,31.1,25.3,26.70,65,18.8
2024-08-25,32.1,25.9,1.60,51,22.7
2024-08-26,31.5,25.6,5.80,63,19.1
2024-08-27,29.6,24.6,6.30,63,20.5
2024-08-28,30.8,24.6,7.70,63,9.1
2024-08-29,32.1,25.4,0.00,3,9.5
2024-08-30,32.1,25.0,3.70,63,8.2
2024-08-31,32.6,25.3,1.10,53,11.0
2024-09-01,33.3,26.5,4.70,63,13.1
2024-09-02,32.2,25.8,2.00,53,14.9
2024-09-03,32.5,26.3,5.70,61,12.3
2024-09-04,31.9,24.8,6.40,63,11.9
2024-09-05,30.4,25.9,5.10,55,8.6
2024-09-06,31.1,24.6,23.60,63,12.0
2024-09-07,32.1,24.5,10.00,63,10.6
2024-09-08,31.6,24.9,21.10,65,10.0
2024-09-09,32.8,24.7,0.30,51,7.7
2024-09-10,32.6,25.6,1.50,53,17.7
2024-09-11,28.8,25.0,75.80,65,22.1
2024-09-12,25.9,24.3,156.30,65,32.5
2024-09-13,30.2,23.4,6.30,61,23.1
2024-09-14,31.3,23.4,0.00,3,14.1
2024-09-15,31.8,23.6,0.00,1,14.8
2024-09-16,32.1,23.6,0.00,3,16.0
2024-09-17,31.8,25.0,0.20,51,12.4
2024-09-18,26.0,22.7,60.20,65,28.8
2024-09-19,28.9,23.5,0.80,51,17.1
2024-09-20,30.4,22.2,0.10,51,5.5
2024-09-21,32.1,25.0,0.00,3,5.8
2024-09-22,33.2,25.4,0.00,3,8.1
2024-09-23,34.2,27.0,0.00,3,9.2
2024-09-24,33.7,25.2,0.00,3,6.8
2024-09-25,33.0,26.9,2.30,55,13.2
2024-09-26,31.5,25.4,0.70,51,16.9
2024-09-27,30.2,24.7,1.30,53,19.0
2024-09-28,29.2,24.7,0.50,51,10.1
2024-09-29,30.3,24.1,0.90,51,9.1
2024-09-30,32.3,23.9,0.00,3,12.0
2024-10-01,33.8,24.4,0.00,0,15.6
2024-10-02,35.1,25.1,0.00,0,17.8
2024-10-03,34.9,24.3,0.00,1,12.5
2024-10-04,33.6,23.6,0.00,0,11.8
2024-10-05,33.4,23.8,0.00,1,15.5
2024-10-06,33.6,22.8,0.00,0,11.1
2024-10-07,33.0,22.9,0.00,0,9.1
2024-10-08,32.8,21.9,0.00,0,8.9
2024-10-09,33.0,22.1,0.00,0,11.6
2024-10-10,32.3,21.2,0.00,3,9.4
2024-10-11,32.1,21.4,0.00,3,9.3
2024-10-12,32.0,22.1,0.00,3,9.9
2024-10-13,32.1,23.3,0.00,3,11.7
2024-10-14,31.5,23.1,0.00,3,9.2
2024-10-15,31.7,20.2,0.00,0,10.0
2024-10-16,32.7,20.0,0.00,3,9.0
2024-10-17,33.2,21.3,0.00,3,8.5
2024-10-18,33.3,21.1,0.00,0,8.2
2024-10-19,34.0,20.5,0.00,0,9.6
2024-10-20,33.6,21.1,0.00,1,10.7
2024-10-21,32.7,21.2,0.00,1,9.6
2024-10-22,32.3,20.6,0.00,1,10.6
2024-10-23,31.8,19.6,0.00,0,14.7
2024-10-24,31.7,20.5,0.00,0,12.4
2024-10-25,31.3,20.4,0.00,0,10.4
2024-10-26,31.4,19.3,0.00,0,12.9
2024-10-27,31.1,19.9,0.00,0,8.5
2024-10-28,31.3,20.3,0.00,0,7.3
2024-10-29,32.5,20.9,0.00,0,8.3
2024-10-30,33.4,21.7,0.00,0,10.3
2024-10-31,33.1,20.9,0.00,0,14.3
2024-11-01,32.0,19.2,0.00,0,13.7
2024-11-02,32.2,18.6,0.00,0,8.8
2024-11-03,31.6,18.9,0.00,0,9.7
2024-11-04,29.8,17.0,0.00,0,6.8
2024-11-05,29.5,17.8,0.00,0,8.2
2024-11-06,29.9,17.8,0.00,0,6.4
2024-11-07,29.7,18.6,0.00,0,8.0
2024-11-08,29.9,18.4,0.00,0,8.3
2024-11-09,30.3,18.5,0.00,0,7.7
2024-11-10,31.2,18.7,0.00,0,11.3
2024-11-11,30.5,18.9,0.00,0,7.8
2024-11-12,30.8,17.9,0.00,0,9.8
2024-11-13,30.3,18.9,0.00,0,8.4
2024-11-14,29.4,18.1,0.00,0,6.3
2024-11-15,29.6,17.6,0.00,0,9.9
2024-11-16,29.0,17.2,0.00,0,6.8
2024-11-17,29.4,17.2,0.00,3,11.5
2024-11-18,26.1,16.9,0.00,0,8.0
2024-11-19,25.7,14.3,0.00,0,9.3
2024-11-20,25.2,13.0,0.00,0,7.9
2024-11-21,25.2,13.0,0.00,0,8.7
2024-11-22,25.5,13.0,0.00,0,7.7
2024-11-23,26.2,13.6,0.00,0,7.8
2024-11-24,27.2,14.4,0.00,0,10.1
2024-11-25,26.5,14.9,0.00,0,10.8
2024-11-26,25.7,13.4,0.00,0,9.2
2024-11-27,26.0,13.2,0.00,0,7.7
2024-11-28,24.4,12.3,0.00,0,8.7
2024-11-29,23.9,12.1,0.00,0,7.4
2024-11-30,24.0,12.0,0.00,0,8.0
2024-12-01,24.5,12.5,0.00,0,9.5
2024-12-02,25.2,13.1,0.00,0,8.0
2024-12-03,25.7,13.6,0.00,0,9.7
2024-12-04,25.3,14.0,0.00,0,10.9
2024-12-05,24.1,12.5,0.00,0,11.3
2024-12-06,24.3,10.8,0.00,0,11.7
2024-12-07,23.8,11.0,0.00,0,8.3
2024-12-08,22.8,11.0,0.10,51,12.7
2024-12-09,20.6,11.0,0.10,51,10.6
2024-12-10,20.3,10.1,0.00,0,13.9
2024-12-11,20.0,7.8,0.00,1,10.2
2024-12-12,20.1,7.5,0.00,3,11.7
2024-12-13,20.2,9.1,0.00,3,14.3
2024-12-14,20.2,8.1,0.00,0,13.6
2024-12-15,20.5,7.2,0.00,0,9.0
2024-12-16,20.0,6.7,0.00,0,7.7
2024-12-17,20.7,6.7,0.00,0,6.4
2024-12-18,20.5,7.0,0.00,3,7.3
2024-12-19,21.3,7.6,0.00,3,8.0
2024-12-20,22.3,10.3,0.00,0,8.4
2024-12-21,22.7,9.2,0.00,1,8.3
2024-12-22,22.0,8.7,0.00,3,10.0
2024-12-23,19.4,11.5,1.30,55,13.6
2024-12-24,18.9,13.0,1.90,53,11.8
2024-12-25,21.4,12.8,0.00,3,8.0
2024-12-26,22.1,11.9,0.00,3,8.6
2024-12-27,24.8,15.2,10.90,63,11.9
2024-12-28,19.8,14.2,9.20,63,11.1
2024-12-29,19.4,11.8,0.00,3,12.8
2024-12-30,18.5,9.1,0.00,3,10.1
2024-12-31,16.5,7.8,0.00,3,6.6
2025-01-01,16.6,7.2,0.00,3,8.4
2025-01-02,19.9,8.1,0.00,3,8.5
2025-01-03,20.5,7.7,0.00,3,7.5
2025-01-04,20.4,8.8,0.00,3,7.7
2025-01-05,19.1,7.9,0.00,3,10.5
2025-01-06,17.2,8.3,0.00,3,10.6
2025-01-07,17.5,9.6,0.00,3,13.5
2025-01-08,18.8,7.9,0.00,0,10.7
2025-01-09,19.4,7.1,0.00,0,7.3
2025-01-10,18.8,7.4,0.00,0,8.5
2025-01-11,19.4,8.5,6.10,63,13.0
2025-01-12,19.8,12.1,3.50,63,15.0
2025-01-13,18.9,10.1,0.00,3,11.4
2025-01-14,18.7,9.1,0.00,1,8.4
2025-01-15,19.2,7.5,0.80,53,9.7
2025-01-16,17.2,11.3,9.30,63,9.0
2025-01-17,19.3,9.5,0.00,1,11.0
2025-01-18,18.7,7.2,0.00,3,7.4
2025-01-19,22.3,7.5,0.00,3,5.4
2025-01-20,23.4,12.8,0.00,3,9.2
2025-01-21,23.2,12.8,0.00,0,11.1
2025-01-22,23.5,11.3,0.00,0,8.0
2025-01-23,19.8,13.5,3.50,61,11.6
2025-01-24,20.9,10.8,0.00,0,12.7
2025-01-25,20.7,9.1,0.00,0,11.2
2025-01-26,20.7,7.5,0.00,0,9.8
2025-01-27,20.8,7.1,0.00,0,8.5
2025-01-28,21.8,7.7,0.00,0,7.7
2025-01-29,23.5,10.1,0.00,3,10.7
2025-01-30,24.4,10.7,0.00,0,8.6
2025-01-31,25.8,11.5,0.00,0,10.4
2025-02-01,25.6,12.9,0.00,0,11.7
2025-02-02,24.8,13.0,0.00,0,11.4
2025-02-03,24.2,12.2,0.00,0,10.5
2025-02-04,25.0,14.3,3.70,63,10.5
2025-02-05,22.7,13.8,0.00,3,14.7
2025-02-06,21.7,9.8,0.00,0,15.3
2025-02-07,21.6,10.0,0.00,3,16.6
2025-02-08,23.7,10.1,0.00,3,11.9
2025-02-09,25.6,10.3,0.00,3,8.3
2025-02-10,27.5,11.4,0.00,3,7.2
2025-02-11,29.0,12.7,0.00,3,9.0
2025-02-12,26.4,13.4,0.00,3,17.1
2025-02-13,25.6,12.8,0.00,0,16.6
2025-02-14,26.9,12.4,0.00,3,15.2
2025-02-15,28.2,13.1,0.00,3,13.4
2025-02-16,27.6,14.3,0.00,3,10.5
2025-02-17,28.2,15.8,0.00,2,8.9
2025-02-18,25.1,15.1,0.00,3,9.3
2025-02-19,27.9,14.6,1.50,61,12.8
2025-02-20,27.0,16.5,1.10,55,16.1
2025-02-21,27.6,15.3,0.00,3,15.0
2025-02-22,26.5,14.1,0.00,0,13.3
2025-02-23,26.5,14.0,0.00,0,9.4
2025-02-24,27.7,13.4,0.00,0,11.6
2025-02-25,28.8,14.8,0.00,3,9.2
2025-02-26,30.2,16.2,0.00,3,10.3
2025-02-27,28.8,18.2,0.00,3,14.1
2025-02-28,29.8,19.7,0.60,53,13.5
2025-03-01,28.0,17.2,0.40,51,14.3
2025-03-02,28.8,17.2,0.00,0,12.6
2025-03-03,28.2,15.3,0.00,0,13.6
2025-03-04,27.7,18.9,0.00,0,19.4
2025-03-05,24.2,13.8,0.00,0,23.7
2025-03-06,27.8,13.2,0.00,0,14.2
2025-03-07,30.0,13.5,0.00,0,9.5
2025-03-08,30.9,16.3,0.00,0,10.5
2025-03-09,32.1,17.5,0.00,0,12.8
2025-03-10,32.8,18.8,0.00,3,12.0
2025-03-11,34.6,18.8,0.00,3,8.6
2025-03-12,34.3,19.9,0.00,3,13.9
2025-03-13,33.9,21.5,0.50,53,12.7
2025-03-14,34.4,19.6,0.00,3,13.0
2025-03-15,34.1,21.1,0.00,3,12.3
2025-03-16,31.6,19.9,0.00,1,13.7
2025-03-17,30.2,18.8,0.00,3,14.6
2025-03-18,30.0,17.0,0.00,2,12.0
2025-03-19,32.5,17.0,0.00,0,11.2
2025-03-20,34.2,19.9,0.00,3,15.8
2025-03-21,32.7,19.5,0.00,3,16.7
2025-03-22,31.3,18.2,0.00,2,14.4
2025-03-23,33.1,16.7,0.00,0,9.1
2025-03-24,34.3,18.7,0.00,0,10.8
2025-03-25,36.1,19.9,0.00,0,11.6
2025-03-26,38.4,21.5,0.00,0,13.2
2025-03-27,38.3,21.9,0.00,1,21.2
2025-03-28,33.4,22.9,0.00,0,19.3
2025-03-29,31.3,17.3,0.00,3,17.1
