time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,33.0,25.4,0.00,1,6.0
2024-08-23,33.0,25.8,1.00,51,10.4
2024-08-24,33.1,23.4,0.90,53,15.4
2024-08-25,33.0,25.1,0.20,51,7.9
2024-08-26,33.2,26.3,2.70,61,7.9
2024-08-27,31.9,25.6,0.70,51,12.3
2024-08-28,31.0,25.1,8.10,63,12.2
2024-08-29,28.5,24.5,31.10,63,26.6
2024-08-30,31.6,24.4,0.50,51,14.2
2024-08-31,32.6,24.3,0.00,3,10.2
2024-09-01,33.4,25.3,0.00,0,7.2
2024-09-02,31.9,25.0,4.00,61,12.6
2024-09-03,30.0,24.5,13.10,63,12.0
2024-09-04,31.3,24.1,4.70,63,8.5
2024-09-05,31.0,23.8,1.50,53,6.2
2024-09-06,31.6,22.9,12.80,63,14.0
2024-09-07,31.0,23.1,3.70,61,16.4
2024-09-08,32.5,23.1,0.00,2,5.8
2024-09-09,32.7,24.6,1.00,51,6.0
2024-09-10,32.0,24.4,21.80,63,15.3
2024-09-11,32.2,24.5,0.70,53,14.2
2024-09-12,34.3,24.9,0.00,1,12.1
2024-09-13,32.9,23.4,0.00,1,11.9
2024-09-14,32.3,24.5,0.40,51,15.5
2024-09-15,33.0,23.9,0.00,1,8.0
2024-09-16,33.4,22.4,0.00,0,6.6
2024-09-17,33.5,22.9,0.00,0,8.0
2024-09-18,33.0,23.7,0.60,53,7.2
2024-09-19,31.3,23.2,0.30,51,16.3
2024-09-20,32.7,21.7,0.00,0,7.2
2024-09-21,33.5,23.3,0.00,0,7.8
2024-09-22,34.4,25.1,0.00,0,7.1
2024-09-23,35.6,26.1,0.00,0,8.4
2024-09-24,35.4,25.5,0.00,0,8.4
2024-09-25,34.0,26.1,0.10,51,9.7
2024-09-26,30.9,24.4,1.70,53,21.3
2024-09-27,31.9,24.1,0.00,2,13.0
2024-09-28,31.6,21.8,8.10,65,8.4
2024-09-29,32.0,22.6,0.00,1,8.3
2024-09-30,33.1,22.4,0.00,1,12.0
2024-10-01,33.8,23.4,0.00,0,8.8
2024-10-02,34.6,23.3,0.00,0,8.6
2024-10-03,34.5,22.1,0.00,0,7.0
2024-10-04,34.6,22.5,0.00,0,7.6
2024-10-05,34.7,22.7,2.40,61,15.9
2024-10-06,31.6,20.6,0.00,3,12.2
2024-10-07,32.2,19.1,0.00,3,8.2
2024-10-08,31.2,20.2,2.30,55,13.7
2024-10-09,32.0,19.7,0.00,1,10.2
2024-10-10,32.0,18.8,0.00,0,12.0
2024-10-11,31.8,18.5,0.00,0,11.4
2024-10-12,32.2,18.1,0.00,0,10.6
2024-10-13,32.0,18.4,0.00,0,9.6
2024-10-14,31.6,19.0,0.00,0,10.9
2024-10-15,32.3,19.0,0.00,0,9.8
2024-10-16,32.8,18.3,0.00,3,8.7
2024-10-17,32.8,19.1,0.00,0,9.0
2024-10-18,32.8,19.1,0.00,0,8.5
2024-10-19,31.8,19.7,0.00,0,8.9
2024-10-20,31.7,19.3,0.00,0,8.6
2024-10-21,31.1,19.3,0.00,0,9.4
2024-10-22,31.1,19.3,0.00,0,8.1
2024-10-23,31.7,19.2,0.00,1,17.1
2024-10-24,31.3,18.7,0.00,0,12.0
2024-10-25,31.1,17.6,0.00,0,11.1
2024-10-26,30.9,17.0,0.00,0,9.9
2024-10-27,31.5,17.1,0.00,0,9.0
2024-10-28,31.4,19.1,0.00,3,8.5
2024-10-29,31.7,19.8,0.00,0,9.9
2024-10-30,31.9,20.2,0.00,3,9.4
2024-10-31,30.9,18.9,0.00,0,12.6
2024-11-01,29.9,15.7,0.00,0,8.5
2024-11-02,30.1,15.0,0.00,3,8.2
2024-11-03,29.9,15.9,0.00,1,10.3
2024-11-04,29.6,16.7,0.00,0,9.7
2024-11-05,29.3,16.9,0.00,1,9.7
2024-11-06,29.1,16.7,0.00,0,7.7
2024-11-07,29.0,17.0,0.00,0,7.9
2024-11-08,28.8,17.3,0.00,1,7.9
2024-11-09,28.3,16.8,0.00,0,7.6
2024-11-10,28.4,16.9,0.00,0,8.0
2024-11-11,28.8,17.1,1.00,53,14.8
2024-11-12,27.0,16.2,0.00,0,11.0
2024-11-13,26.7,16.6,0.00,3,5.7
2024-11-14,26.8,16.0,0.00,3,6.5
2024-11-15,26.3,14.7,0.00,3,10.3
2024-11-16,24.5,14.3,0.00,3,17.4
2024-11-17,24.1,13.2,0.00,3,7.9
2024-11-18,24.3,12.7,0.00,3,6.4
2024-11-19,24.0,11.8,0.00,0,7.9
2024-11-20,23.9,11.2,0.00,0,7.7
2024-11-21,24.0,11.4,0.00,0,7.7
2024-11-22,24.5,11.4,0.00,3,7.6
2024-11-23,23.7,13.1,0.60,53,15.1
2024-11-24,24.1,13.9,3.00,61,16.8
2024-11-25,23.0,12.1,0.00,0,8.8
2024-11-26,23.1,11.1,0.00,0,6.2
2024-11-27,22.5,10.4,0.00,0,4.4
2024-11-28,23.0,11.0,0.00,3,4.2
2024-11-29,22.8,10.4,0.00,3,5.8
2024-11-30,21.5,12.7,0.70,53,9.5
2024-12-01,22.5,10.6,0.00,0,6.4
2024-12-02,23.1,11.5,0.00,1,9.1
2024-12-03,23.1,12.8,0.20,51,10.8
2024-12-04,21.7,11.3,0.00,0,11.3
2024-12-05,21.5,8.5,0.00,0,7.8
2024-12-06,20.9,8.2,0.00,0,8.3
2024-12-07,19.9,6.1,0.00,0,6.3
2024-12-08,19.1,8.6,2.70,61,17.6
2024-12-09,18.7,6.5,0.00,1,6.2
2024-12-10,18.1,5.0,0.00,0,9.4
2024-12-11,18.3,5.0,0.00,2,9.5
2024-12-12,18.3,5.9,0.00,0,11.0
2024-12-13,19.4,6.0,0.00,3,14.1
2024-12-14,18.5,6.1,0.00,1,10.4
2024-12-15,18.2,4.6,0.00,3,6.8
2024-12-16,17.9,3.9,0.00,0,6.1
2024-12-17,18.2,3.5,0.00,0,6.1
2024-12-18,19.0,4.4,0.00,3,7.0
2024-12-19,18.3,3.9,0.00,1,8.4
2024-12-20,19.3,5.1,0.00,1,8.1
2024-12-21,18.0,5.4,0.00,3,7.7
2024-12-22,18.2,7.1,0.00,3,10.7
2024-12-23,13.5,8.0,2.40,53,9.9
2024-12-24,19.2,6.9,0.00,0,8.6
2024-12-25,20.0,7.4,0.00,0,8.2
2024-12-26,20.0,7.1,0.00,3,6.4
2024-12-27,16.5,7.8,12.00,63,11.1
2024-12-28,17.5,8.9,4.40,61,7.3
2024-12-29,17.8,8.0,0.00,3,8.4
2024-12-30,17.4,6.6,0.00,3,7.6
2024-12-31,16.1,5.2,0.00,3,6.1
2025-01-01,16.0,6.7,0.00,3,8.0
2025-01-02,16.5,6.3,0.00,3,6.3
2025-01-03,17.7,7.4,0.00,3,6.4
2025-01-04,18.8,7.2,0.00,3,11.7
2025-01-05,16.5,8.6,2.30,53,10.1
2025-01-06,16.4,9.2,0.00,3,8.6
2025-01-07,17.4,7.9,0.00,0,9.8
2025-01-08,17.1,5.3,0.00,1,8.6
2025-01-09,16.6,3.9,0.00,3,4.3
2025-01-10,15.1,4.0,0.00,3,5.0
2025-01-11,14.2,6.4,0.60,51,10.1
2025-01-12,17.4,9.3,0.10,51,13.1
2025-01-13,17.8,6.5,0.00,3,8.6
2025-01-14,17.5,5.3,0.00,3,7.8
2025-01-15,17.4,4.0,0.00,3,6.3
2025-01-16,16.2,7.8,0.00,3,10.8
2025-01-17,17.2,6.3,0.00,3,9.5
2025-01-18,16.9,8.0,0.00,3,5.0
2025-01-19,16.7,5.6,0.00,3,7.8
2025-01-20,20.0,9.6,0.00,3,10.9
2025-01-21,19.9,7.9,0.00,3,10.3
2025-01-22,21.0,8.1,0.00,0,10.6
2025-01-23,20.5,8.3,0.00,1,9.5
2025-01-24,19.7,7.8,0.00,0,10.3
2025-01-25,20.5,7.5,0.00,0,9.4
2025-01-26,21.4,5.0,0.00,0,8.6
2025-01-27,21.9,5.5,0.00,0,8.6
2025-01-28,22.9,6.3,0.00,1,7.2
2025-01-29,21.8,8.6,0.00,3,12.5
2025-01-30,23.9,9.6,0.00,3,10.3
2025-01-31,23.1,8.4,0.30,51,12.8
2025-02-01,21.4,10.5,12.00,65,15.0
2025-02-02,22.1,8.4,0.00,3,9.3
2025-02-03,21.6,7.8,0.00,3,10.2
2025-02-04,21.3,7.7,0.00,3,10.6
2025-02-05,20.3,6.9,0.00,3,6.7
2025-02-06,21.4,7.1,0.00,0,14.0
2025-02-07,21.4,8.6,0.00,3,13.3
2025-02-08,23.2,9.7,0.00,3,10.4
2025-02-09,25.1,8.3,0.00,2,6.9
2025-02-10,24.9,10.2,0.00,3,7.2
2025-02-11,24.7,10.5,0.20,51,14.1
2025-02-12,24.2,10.8,0.00,2,14.5
2025-02-13,24.1,9.9,0.00,3,14.2
2025-02-14,24.8,8.3,0.00,3,11.5
2025-02-15,24.6,12.6,1.00,53,18.3
2025-02-16,25.6,11.2,0.00,3,9.2
2025-02-17,26.8,10.8,0.00,3,9.6
2025-02-18,27.0,12.6,0.00,3,11.7
2025-02-19,27.1,11.3,2.90,61,13.2
2025-02-20,17.8,10.4,38.90,65,17.6
2025-02-21,20.7,9.4,0.00,3,8.7
2025-02-22,21.8,11.2,0.10,51,9.5
2025-02-23,23.9,10.3,0.00,0,8.2
