time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,20.8,13.8,8.10,61,5.9
2024-08-23,19.9,14.1,14.30,63,8.8
2024-08-24,21.4,13.6,1.10,51,6.8
2024-08-25,21.6,13.4,1.80,51,6.9
2024-08-26,20.8,13.8,4.20,55,8.4
2024-08-27,21.0,13.2,1.40,51,7.8
2024-08-28,21.3,13.9,1.50,53,5.8
2024-08-29,21.2,14.7,2.20,61,7.0
2024-08-30,23.3,15.9,4.10,61,4.8
2024-08-31,21.7,13.7,9.90,61,6.6
2024-09-01,19.5,13.9,7.50,55,5.7
2024-09-02,21.1,14.7,1.30,51,4.7
2024-09-03,22.0,13.8,1.40,53,7.0
2024-09-04,19.6,14.1,19.20,63,5.2
2024-09-05,18.1,13.1,9.80,63,5.9
2024-09-06,21.9,13.3,3.10,53,6.0
2024-09-07,23.2,16.1,0.60,51,6.3
2024-09-08,21.9,14.6,0.80,51,5.6
2024-09-09,22.0,14.1,1.20,51,7.3
2024-09-10,22.1,15.3,1.20,51,6.0
2024-09-11,22.3,14.2,1.40,53,6.7
2024-09-12,22.7,14.0,0.20,51,6.8
2024-09-13,21.5,15.4,18.00,65,6.3
2024-09-14,17.6,13.8,12.70,63,5.9
2024-09-15,18.8,13.0,6.40,61,8.6
2024-09-16,18.0,12.7,7.50,61,7.3
2024-09-17,21.2,12.4,0.10,51,7.3
2024-09-18,22.9,14.6,0.40,51,6.2
2024-09-19,22.9,15.0,0.60,51,4.7
2024-09-20,23.3,15.9,0.60,53,5.6
2024-09-21,24.7,15.7,0.80,53,6.4
2024-09-22,24.6,16.8,0.00,3,4.6
2024-09-23,24.3,16.3,0.40,51,6.5
2024-09-24,22.4,14.9,1.50,53,7.6
2024-09-25,16.2,13.4,20.40,63,5.1
2024-09-26,14.4,12.8,115.20,65,8.5
2024-09-27,14.4,12.4,262.20,65,7.6
2024-09-28,16.7,13.0,36.40,65,4.3
2024-09-29,20.0,11.3,7.90,63,5.0
2024-09-30,20.0,13.1,5.00,53,3.8
2024-10-01,19.6,14.2,7.10,61,5.7
2024-10-02,18.8,13.4,8.40,63,6.2
2024-10-03,17.0,13.3,10.70,63,6.3
2024-10-04,18.6,12.4,47.20,65,6.1
2024-10-05,17.4,11.8,2.60,53,6.7
2024-10-06,18.6,11.4,2.90,53,4.5
2024-10-07,19.0,11.2,8.30,61,4.7
2024-10-08,18.9,10.4,2.80,51,4.4
2024-10-09,18.2,11.3,3.10,53,4.3
2024-10-10,19.0,10.5,1.00,51,5.3
2024-10-11,18.0,9.9,1.80,51,5.3
2024-10-12,17.0,10.1,1.60,51,5.0
2024-10-13,16.9,9.8,2.70,53,4.9
2024-10-14,15.7,8.8,3.50,51,4.3
2024-10-15,14.8,9.5,5.80,53,4.5
2024-10-16,16.2,10.5,2.40,53,3.9
2024-10-17,15.5,7.9,1.50,51,4.2
2024-10-18,15.5,7.8,0.80,51,4.1
2024-10-19,15.9,8.2,1.80,51,4.3
2024-10-20,14.2,7.6,3.40,53,5.6
2024-10-21,17.4,8.7,1.10,53,6.8
2024-10-22,19.3,8.1,0.00,2,7.0
2024-10-23,20.4,10.8,0.10,51,5.6
2024-10-24,17.9,11.2,0.00,3,8.4
2024-10-25,15.2,10.3,0.20,51,4.0
2024-10-26,18.3,11.0,0.00,3,5.5
2024-10-27,19.0,11.0,0.60,51,4.7
2024-10-28,18.3,11.6,1.60,53,4.7
2024-10-29,17.5,9.8,0.70,51,4.0
2024-10-30,17.6,8.7,4.60,55,3.5
2024-10-31,16.4,8.3,8.90,61,4.4
2024-11-01,16.2,10.9,3.70,53,3.7
2024-11-02,17.1,10.1,0.90,51,4.1
2024-11-03,17.5,10.4,0.70,51,5.0
2024-11-04,16.7,9.5,0.00,1,7.2
2024-11-05,17.2,8.6,0.00,3,4.6
2024-11-06,16.3,8.9,0.40,51,6.5
2024-11-07,16.7,9.5,1.10,51,7.5
2024-11-08,14.3,8.7,3.80,55,4.1
2024-11-09,16.0,9.1,0.00,3,4.4
2024-11-10,17.0,7.9,0.00,1,6.9
2024-11-11,15.3,6.9,2.20,53,5.6
2024-11-12,15.1,5.9,1.20,51,5.5
2024-11-13,13.7,7.3,5.80,55,5.0
2024-11-14,15.4,6.7,2.90,55,5.6
2024-11-15,15.3,7.4,5.30,55,6.3
2024-11-16,14.6,7.5,2.20,55,5.9
2024-11-17,14.3,7.1,0.50,51,6.3
2024-11-18,12.9,8.2,0.90,51,4.5
2024-11-19,13.1,7.3,0.50,51,5.9
2024-11-20,13.2,6.0,0.00,2,5.6
2024-11-21,12.8,7.3,0.10,51,4.9
2024-11-22,13.5,5.9,0.50,51,7.0
2024-11-23,11.0,4.4,1.40,51,4.9
2024-11-24,11.9,3.7,7.50,61,6.8
2024-11-25,10.9,6.9,7.40,53,8.2
2024-11-26,11.3,3.8,2.30,53,6.6
2024-11-27,10.7,3.6,0.30,51,5.9
2024-11-28,12.6,5.0,0.00,3,7.1
2024-11-29,13.9,4.9,0.00,0,6.4
2024-11-30,14.1,5.0,0.00,1,6.3
2024-12-01,13.4,3.9,0.00,3,6.7
2024-12-02,12.9,4.1,0.00,2,7.2
2024-12-03,13.1,3.6,0.40,51,6.7
2024-12-04,10.9,2.6,2.80,51,7.6
2024-12-05,10.2,3.5,6.40,53,6.4
2024-12-06,9.8,3.6,8.10,55,7.3
2024-12-07,10.3,3.2,2.60,51,7.1
2024-12-08,10.7,2.2,0.60,51,7.6
2024-12-09,10.4,-0.0,0.50,51,10.3
2024-12-10,10.2,-0.2,5.20,61,6.5
2024-12-11,9.8,1.0,1.30,51,6.3
2024-12-12,10.3,1.2,0.10,51,7.3
2024-12-13,11.4,1.5,0.00,3,6.7
2024-12-14,10.3,1.3,0.90,51,8.2
2024-12-15,14.9,5.2,0.00,0,4.2
2024-12-16,14.9,6.3,0.00,0,5.5
2024-12-17,13.8,4.2,0.00,0,6.2
2024-12-18,12.1,3.7,0.00,1,6.8
2024-12-19,12.0,3.1,0.00,1,6.6
2024-12-20,12.6,1.8,1.00,51,6.5
2024-12-21,10.8,1.9,1.10,51,7.2
2024-12-22,8.6,2.7,1.00,51,5.9
2024-12-23,10.6,1.7,0.40,51,6.4
2024-12-24,11.3,1.0,0.00,2,6.6
2024-12-25,11.2,1.0,0.40,51,8.2
2024-12-26,12.0,1.0,0.60,51,7.1
2024-12-27,12.6,2.6,0.00,1,7.1
2024-12-28,13.7,5.0,0.00,3,7.1
2024-12-29,12.5,2.5,0.00,3,9.8
2024-12-30,11.6,2.6,0.00,2,6.2
2024-12-31,12.2,4.6,0.10,51,6.7
2025-01-01,12.1,4.4,0.00,2,7.2
2025-01-02,12.2,4.8,0.00,1,7.3
2025-01-03,12.6,5.1,0.00,2,5.9
2025-01-04,13.4,5.4,0.00,0,6.9
2025-01-05,13.1,5.9,0.00,3,5.7
2025-01-06,12.9,3.7,0.00,3,7.2
2025-01-07,10.1,1.1,1.80,53,5.7
2025-01-08,11.3,2.5,1.00,51,6.7
2025-01-09,9.9,2.2,3.00,53,7.3
2025-01-10,10.5,1.1,0.00,3,7.4
2025-01-11,11.7,1.4,0.00,0,7.8
2025-01-12,11.2,2.5,0.00,3,6.4
2025-01-13,11.1,1.5,1.00,51,7.4
2025-01-14,11.6,2.3,0.00,3,6.5
2025-01-15,12.0,2.5,0.00,3,6.5
2025-01-16,12.3,3.9,0.00,3,5.7
2025-01-17,12.7,3.9,0.00,3,5.8
2025-01-18,12.9,3.8,0.00,0,6.8
2025-01-19,12.9,4.3,0.00,0,6.5
2025-01-20,13.2,4.8,0.00,0,6.9
2025-01-21,13.5,4.3,0.50,51,7.6
2025-01-22,13.3,4.3,0.10,51,6.9
2025-01-23,11.4,2.5,0.10,51,7.5
2025-01-24,10.8,0.9,1.50,51,8.2
2025-01-25,7.9,2.4,5.00,53,7.4
2025-01-26,13.1,4.2,0.30,51,7.2
2025-01-27,12.4,3.6,0.10,51,6.6
2025-01-28,8.8,4.4,5.50,61,4.1
2025-01-29,10.6,4.9,4.30,61,5.6
2025-01-30,9.6,2.5,2.50,53,8.1
2025-01-31,9.2,1.5,4.10,51,8.4
2025-02-01,9.0,1.7,2.10,51,8.1
2025-02-02,10.6,1.1,1.70,51,7.8
2025-02-03,9.9,3.2,0.40,51,7.7
2025-02-04,13.7,2.6,0.00,3,7.2
2025-02-05,13.7,3.6,0.40,51,8.8
