time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,29.0,24.3,2.90,53,24.3
2024-08-23,29.5,23.9,7.10,53,16.9
2024-08-24,25.9,23.8,36.60,63,18.3
2024-08-25,26.8,23.3,42.80,63,15.0
2024-08-26,25.3,22.8,45.40,63,15.3
2024-08-27,26.7,22.5,38.50,63,19.8
2024-08-28,25.9,22.5,53.50,63,15.2
2024-08-29,27.1,22.6,12.40,61,13.6
2024-08-30,27.4,23.5,7.80,61,12.4
2024-08-31,26.8,23.2,14.60,63,10.9
2024-09-01,25.4,23.5,11.10,61,11.0
2024-09-02,26.2,22.0,22.90,63,11.3
2024-09-03,27.1,22.7,10.20,61,11.7
2024-09-04,26.8,22.2,12.70,61,13.7
2024-09-05,27.1,23.2,9.90,63,15.9
2024-09-06,28.0,23.3,10.10,61,13.0
2024-09-07,28.1,23.2,11.80,63,12.3
2024-09-08,26.5,23.4,17.10,63,14.5
2024-09-09,26.8,23.1,19.10,63,12.4
2024-09-10,28.5,23.0,7.10,53,15.8
2024-09-11,27.2,23.0,8.50,53,14.1
2024-09-12,28.9,23.0,4.20,53,11.5
2024-09-13,27.2,23.2,4.10,53,12.6
2024-09-14,29.2,22.1,6.30,55,15.8
2024-09-15,29.5,22.6,5.30,55,12.6
2024-09-16,28.6,22.8,3.80,53,13.7
2024-09-17,29.8,22.7,2.80,53,14.4
2024-09-18,29.5,20.6,3.40,55,13.8
2024-09-19,28.8,21.6,3.00,53,9.7
2024-09-20,29.6,21.9,4.50,61,10.6
2024-09-21,30.1,22.5,3.30,55,12.3
2024-09-22,30.4,23.5,19.20,63,14.8
2024-09-23,29.1,23.4,24.40,63,14.4
2024-09-24,27.0,23.4,42.60,63,14.8
2024-09-25,27.1,23.3,24.10,63,11.7
2024-09-26,28.3,23.7,13.00,63,16.8
2024-09-27,27.5,23.8,18.50,63,13.1
2024-09-28,30.2,23.5,1.50,51,11.9
2024-09-29,31.1,21.4,3.10,61,11.8
2024-09-30,31.1,23.6,4.90,61,5.0
2024-10-01,31.4,23.2,2.00,55,7.3
2024-10-02,30.4,22.7,7.70,63,11.7
2024-10-03,28.9,22.9,2.10,53,7.9
2024-10-04,29.4,22.8,3.70,61,10.6
2024-10-05,30.5,23.0,4.00,61,9.8
2024-10-06,29.3,22.4,12.10,65,7.0
2024-10-07,31.5,23.1,14.00,63,9.5
2024-10-08,29.2,23.1,28.20,65,8.3
2024-10-09,29.8,23.3,37.20,65,10.0
2024-10-10,31.5,22.7,19.00,63,14.9
2024-10-11,31.3,23.0,6.40,63,17.5
2024-10-12,31.5,22.6,12.70,65,9.2
2024-10-13,29.3,23.0,5.50,61,7.2
2024-10-14,30.5,22.5,12.90,63,11.9
2024-10-15,27.2,23.5,7.50,63,5.7
2024-10-16,27.1,22.7,10.40,63,5.4
2024-10-17,27.4,23.2,23.80,63,10.1
2024-10-18,29.5,22.9,5.50,63,12.9
