time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,30.3,23.5,0.90,53,26.2
2024-08-23,30.3,23.8,0.60,51,25.5
2024-08-24,27.4,23.1,6.10,55,31.6
2024-08-25,30.1,23.0,1.60,53,34.7
2024-08-26,30.8,23.5,0.50,51,31.8
2024-08-27,31.0,23.6,2.60,61,29.4
2024-08-28,30.1,23.5,1.50,53,28.5
2024-08-29,31.0,23.5,3.10,61,24.0
2024-08-30,28.9,23.5,7.30,63,21.4
2024-08-31,25.8,23.1,9.10,55,23.3
2024-09-01,26.4,23.2,6.90,55,23.8
2024-09-02,30.8,23.1,6.90,63,26.5
2024-09-03,29.8,22.9,2.00,51,29.1
2024-09-04,29.0,23.6,6.00,63,27.7
2024-09-05,30.6,23.7,1.00,51,25.2
2024-09-06,30.8,23.1,1.00,51,22.0
2024-09-07,30.6,23.0,3.40,61,22.7
2024-09-08,29.2,23.3,4.00,55,24.0
2024-09-09,30.0,23.1,1.00,51,25.7
2024-09-10,31.2,23.4,0.20,51,30.2
2024-09-11,31.3,23.2,0.40,51,28.7
2024-09-12,31.4,22.7,0.60,51,23.5
2024-09-13,31.2,22.6,0.40,51,20.2
2024-09-14,31.7,22.2,0.00,3,22.4
2024-09-15,31.7,22.6,0.10,51,23.8
2024-09-16,31.9,21.6,1.30,51,21.0
2024-09-17,31.2,22.5,1.90,53,19.7
2024-09-18,31.9,22.1,0.00,2,17.6
2024-09-19,32.0,21.4,0.00,1,19.8
2024-09-20,32.9,22.5,0.20,51,18.8
2024-09-21,31.8,23.2,3.70,63,18.6
2024-09-22,32.8,23.2,3.70,61,18.4
2024-09-23,31.3,22.8,4.30,63,15.9
2024-09-24,29.3,23.4,10.10,61,18.0
2024-09-25,29.3,23.4,7.40,61,27.2
2024-09-26,31.5,23.1,0.10,51,25.8
2024-09-27,31.3,23.6,1.00,53,22.0
2024-09-28,31.5,23.0,0.40,51,17.4
2024-09-29,32.9,23.6,9.90,65,11.2
2024-09-30,31.8,22.6,8.00,63,11.7
2024-10-01,32.9,22.3,0.10,51,8.7
2024-10-02,32.6,23.3,4.80,63,22.2
2024-10-03,32.5,23.7,2.50,61,16.0
2024-10-04,32.8,22.6,3.60,63,18.1
2024-10-05,30.5,22.5,12.60,63,14.5
