time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,31.4,24.7,15.80,63,9.0
2024-08-23,31.5,24.2,10.30,65,9.0
2024-08-24,31.7,24.1,7.10,63,14.4
2024-08-25,29.9,24.0,11.60,63,23.9
2024-08-26,30.2,24.0,12.70,63,22.7
2024-08-27,29.8,23.4,7.30,61,20.7
2024-08-28,30.4,23.3,0.00,3,15.7
2024-08-29,29.3,23.1,1.00,51,16.8
2024-08-30,30.6,23.8,9.40,63,13.7
2024-08-31,31.0,23.5,12.20,65,9.1
2024-09-01,31.8,24.9,1.80,53,10.8
2024-09-02,30.4,24.7,6.20,63,11.9
2024-09-03,30.8,24.3,6.00,63,16.2
2024-09-04,29.4,23.4,1.80,53,8.9
2024-09-05,28.0,23.4,47.60,65,8.2
2024-09-06,29.6,23.6,15.50,63,9.0
2024-09-07,28.8,23.6,12.40,63,7.6
2024-09-08,28.1,23.2,6.80,63,11.5
2024-09-09,30.3,23.1,1.60,51,9.1
2024-09-10,30.5,24.0,4.60,61,12.9
2024-09-11,30.9,23.5,14.30,65,21.6
2024-09-12,30.8,25.2,6.00,61,25.5
2024-09-13,30.3,23.8,0.80,53,27.9
2024-09-14,29.7,22.1,0.30,51,19.8
2024-09-15,29.8,21.8,0.00,1,15.5
2024-09-16,31.1,21.5,0.00,0,14.2
2024-09-17,30.3,22.0,0.00,3,15.3
2024-09-18,30.0,22.9,1.20,55,22.0
2024-09-19,27.7,22.2,0.30,51,10.8
2024-09-20,29.3,21.6,0.50,51,5.2
2024-09-21,30.2,23.3,0.60,51,7.1
2024-09-22,32.4,23.9,0.00,2,6.7
2024-09-23,32.7,24.2,0.00,2,10.7
2024-09-24,33.1,24.3,0.10,51,7.0
2024-09-25,32.8,25.0,0.40,51,9.8
2024-09-26,30.9,24.5,0.40,51,13.8
2024-09-27,31.0,23.7,0.00,3,14.6
2024-09-28,31.2,22.8,0.00,3,16.5
2024-09-29,31.4,21.5,0.00,3,13.0
2024-09-30,32.4,22.8,0.00,3,11.8
2024-10-01,34.4,23.5,0.00,0,15.6
2024-10-02,34.8,25.7,0.00,0,23.7
2024-10-03,34.8,24.5,0.00,1,20.3
2024-10-04,33.4,23.3,0.00,0,16.9
2024-10-05,32.3,22.6,0.00,1,14.5
2024-10-06,32.5,22.7,0.10,51,12.0
2024-10-07,32.9,22.0,0.00,1,8.4
2024-10-08,33.3,21.5,0.00,1,9.0
2024-10-09,33.6,22.3,0.00,1,11.5
2024-10-10,31.9,22.2,0.40,51,8.8
2024-10-11,32.3,20.4,0.00,3,10.7
2024-10-12,31.7,21.6,0.00,3,10.3
2024-10-13,29.7,22.3,0.00,3,9.0
2024-10-14,31.7,20.4,0.00,3,9.8
2024-10-15,32.0,20.4,0.00,2,10.0
2024-10-16,32.9,19.2,0.00,3,10.3
2024-10-17,32.6,20.5,0.00,3,10.4
2024-10-18,32.6,21.6,0.00,0,9.5
2024-10-19,33.7,21.7,0.00,0,9.4
2024-10-20,33.2,20.7,0.00,1,11.4
2024-10-21,33.1,20.9,0.00,1,10.5
2024-10-22,31.8,20.3,0.00,2,8.3
2024-10-23,32.0,20.2,0.00,1,12.6
2024-10-24,31.8,19.8,0.00,0,18.0
2024-10-25,32.8,19.7,0.00,0,11.5
2024-10-26,33.3,20.0,0.00,0,13.2
2024-10-27,32.2,19.4,0.00,1,8.1
2024-10-28,31.9,19.9,0.00,0,10.3
2024-10-29,33.1,20.0,0.00,0,10.2
2024-10-30,34.7,21.9,0.00,0,12.1
2024-10-31,33.5,21.6,0.00,0,14.0
2024-11-01,32.5,19.5,0.00,0,14.9
2024-11-02,32.1,19.5,0.00,0,9.2
2024-11-03,32.4,19.5,0.00,0,11.3
2024-11-04,30.9,17.9,0.00,0,9.0
2024-11-05,30.3,17.5,0.00,0,9.8
2024-11-06,30.8,18.1,0.00,0,9.0
2024-11-07,31.2,18.4,0.00,0,9.1
2024-11-08,31.1,18.0,0.00,1,7.6
2024-11-09,31.4,18.0,0.00,0,9.4
2024-11-10,31.5,17.8,0.00,0,12.4
2024-11-11,31.1,18.8,0.00,0,10.4
2024-11-12,31.0,17.6,0.00,0,10.4
2024-11-13,30.4,19.3,0.00,0,10.1
2024-11-14,29.6,17.9,0.00,1,9.8
2024-11-15,29.2,17.4,0.00,1,9.9
2024-11-16,29.4,17.1,0.00,0,9.2
2024-11-17,28.9,17.5,0.00,0,11.3
2024-11-18,26.8,15.7,0.00,0,9.6
2024-11-19,26.1,13.9,0.00,0,5.6
2024-11-20,25.9,13.6,0.00,0,7.6
2024-11-21,25.6,13.8,0.00,0,7.0
2024-11-22,25.8,13.4,0.00,0,4.9
2024-11-23,25.5,14.1,0.00,0,7.2
2024-11-24,27.0,15.2,0.00,0,7.3
2024-11-25,27.3,16.4,0.00,0,11.9
2024-11-26,26.7,13.9,0.00,0,9.5
2024-11-27,27.1,14.3,0.00,0,11.7
2024-11-28,25.9,14.8,0.00,0,9.8
2024-11-29,24.0,13.2,0.00,0,6.9
2024-11-30,24.6,13.2,0.00,0,12.1
2024-12-01,25.2,14.0,0.00,0,10.9
2024-12-02,25.5,14.1,0.00,0,9.0
2024-12-03,26.2,14.1,0.00,0,9.1
2024-12-04,26.0,15.2,0.00,0,8.7
2024-12-05,24.7,14.2,0.00,0,8.5
2024-12-06,24.1,13.4,0.00,1,9.2
2024-12-07,23.9,10.6,0.00,0,6.6
2024-12-08,22.5,11.4,0.00,1,15.5
2024-12-09,20.5,10.6,0.00,0,12.9
2024-12-10,20.9,10.1,0.00,0,8.2
2024-12-11,21.7,8.7,0.00,2,6.3
2024-12-12,20.5,8.2,0.00,1,10.1
2024-12-13,21.2,10.8,0.00,3,12.3
2024-12-14,22.8,8.8,0.00,0,10.9
2024-12-15,22.4,9.2,0.00,0,8.0
2024-12-16,22.2,7.9,0.00,0,7.2
2024-12-17,22.0,7.9,0.00,0,8.0
2024-12-18,21.4,9.0,0.00,3,9.7
2024-12-19,20.6,9.3,0.00,0,12.2
2024-12-20,21.6,11.4,0.00,1,10.9
2024-12-21,22.7,10.2,0.00,3,10.3
2024-12-22,21.8,10.7,0.00,3,11.4
2024-12-23,18.3,12.6,1.50,53,12.4
2024-12-24,20.3,11.4,0.40,51,10.3
2024-12-25,20.0,11.0,0.00,3,10.5
2024-12-26,20.6,11.7,0.80,53,13.0
2024-12-27,19.1,14.5,25.40,65,10.9
2024-12-28,19.7,12.0,1.40,55,11.3
2024-12-29,18.4,9.1,0.00,0,9.8
2024-12-30,18.3,6.4,0.00,0,8.6
2024-12-31,16.7,7.2,0.00,3,6.5
2025-01-01,18.9,6.3,0.00,3,8.9
2025-01-02,22.4,8.8,0.00,3,9.2
2025-01-03,21.8,9.8,0.00,3,4.7
2025-01-04,21.9,9.8,0.00,1,8.9
2025-01-05,21.7,9.9,0.00,2,8.9
2025-01-06,20.9,10.7,0.40,51,10.4
2025-01-07,18.0,8.4,0.00,3,13.0
2025-01-08,19.0,7.4,0.00,0,10.3
2025-01-09,19.4,8.1,0.00,0,9.7
2025-01-10,19.6,8.6,0.00,0,13.3
2025-01-11,17.1,9.8,8.90,63,12.0
2025-01-12,17.2,8.5,0.20,51,13.2
2025-01-13,18.3,8.6,0.00,3,10.6
2025-01-14,18.6,8.2,0.00,3,9.4
2025-01-15,16.6,9.1,3.00,61,12.4
2025-01-16,19.7,10.7,0.20,51,9.9
2025-01-17,18.7,8.7,0.00,0,9.4
2025-01-18,19.7,7.0,0.00,2,7.7
2025-01-19,23.7,11.1,0.00,2,6.8
2025-01-20,24.4,13.9,0.00,0,9.3
2025-01-21,23.9,13.3,0.00,1,9.5
2025-01-22,23.1,12.8,1.00,51,10.7
2025-01-23,22.2,13.2,0.10,51,11.0
2025-01-24,21.5,10.9,0.00,0,10.4
2025-01-25,21.3,10.4,0.00,0,9.2
2025-01-26,22.8,8.6,0.00,0,7.2
2025-01-27,23.7,9.2,0.00,0,4.9
2025-01-28,24.1,9.5,0.00,1,7.6
2025-01-29,24.6,12.3,0.00,3,9.7
2025-01-30,26.4,12.2,0.00,0,8.6
2025-01-31,25.3,13.0,0.00,0,9.2
2025-02-01,23.9,12.6,0.00,0,9.8
2025-02-02,24.8,13.3,0.00,1,11.5
2025-02-03,23.4,12.1,0.00,1,10.7
2025-02-04,23.2,15.5,7.60,63,12.4
2025-02-05,22.5,12.0,0.00,0,12.8
2025-02-06,22.1,9.1,0.00,0,9.6
2025-02-07,21.9,10.5,0.00,3,10.7
2025-02-08,24.7,11.4,0.00,3,9.8
2025-02-09,23.9,11.9,0.00,3,6.0
2025-02-10,27.0,12.7,0.00,3,7.7
2025-02-11,27.4,14.3,0.00,3,6.3
2025-02-12,25.9,15.3,0.00,2,13.9
2025-02-13,25.2,14.0,0.00,0,13.0
2025-02-14,27.2,14.0,0.00,3,10.6
2025-02-15,30.5,15.4,0.00,3,16.1
2025-02-16,27.8,14.6,0.00,1,10.9
2025-02-17,27.4,16.9,0.00,3,12.1
2025-02-18,25.4,17.7,1.00,51,11.5
2025-02-19,26.1,15.3,1.40,61,16.6
2025-02-20,25.8,15.1,1.30,61,17.2
2025-02-21,26.7,14.7,0.00,2,15.7
2025-02-22,26.0,13.5,0.00,0,10.8
2025-02-23,26.4,14.6,0.00,0,9.3
2025-02-24,27.3,14.7,0.00,0,8.4
2025-02-25,28.7,15.5,0.00,3,8.5
2025-02-26,30.2,17.9,0.00,3,10.2
2025-02-27,29.0,19.0,0.00,3,12.6
2025-02-28,26.4,18.0,0.00,3,10.2
2025-03-01,27.3,16.8,0.00,3,14.3
2025-03-02,28.4,16.6,0.00,2,13.2
2025-03-03,30.2,15.7,0.00,1,19.4
