time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,32.8,26.0,0.10,51,19.0
2024-08-23,33.4,26.3,0.00,3,18.2
2024-08-24,33.8,26.4,0.70,51,16.3
2024-08-25,34.2,25.9,0.40,51,14.3
2024-08-26,34.3,27.2,0.80,51,33.2
2024-08-27,32.2,25.8,3.70,61,41.3
2024-08-28,30.2,24.9,5.80,61,25.7
2024-08-29,31.5,24.9,1.30,53,27.0
2024-08-30,31.3,24.9,0.30,51,25.0
2024-08-31,31.9,24.4,0.10,51,12.5
2024-09-01,32.3,25.4,0.40,51,15.4
2024-09-02,32.7,25.6,0.00,3,14.6
2024-09-03,33.0,26.3,29.30,65,18.8
2024-09-04,30.2,24.4,10.00,63,10.4
2024-09-05,32.5,25.0,0.00,3,14.5
2024-09-06,32.2,25.1,0.10,51,20.2
2024-09-07,33.1,24.9,0.00,3,18.4
2024-09-08,34.1,25.6,0.00,3,18.3
2024-09-09,34.7,26.0,0.00,0,20.7
2024-09-10,34.5,25.3,0.00,1,21.7
2024-09-11,37.8,26.4,0.00,1,21.9
2024-09-12,37.1,26.8,0.00,2,28.4
2024-09-13,33.9,24.7,0.00,0,35.5
2024-09-14,33.2,23.0,0.00,2,33.8
2024-09-15,33.4,23.3,0.00,0,21.7
2024-09-16,33.8,23.7,0.00,0,19.8
2024-09-17,35.2,24.3,0.00,1,20.0
2024-09-18,36.3,25.0,0.00,1,16.7
2024-09-19,37.0,26.6,0.00,2,22.3
2024-09-20,37.8,25.9,0.00,1,12.4
2024-09-21,38.1,27.2,0.00,1,19.2
2024-09-22,38.6,27.4,0.00,2,23.8
2024-09-23,38.3,28.0,0.00,2,22.1
2024-09-24,38.3,27.6,0.10,51,17.7
2024-09-25,39.3,28.5,0.00,3,20.7
2024-09-26,39.9,29.6,0.00,3,17.8
2024-09-27,40.2,29.3,0.00,2,25.4
2024-09-28,38.2,27.0,0.50,53,22.4
2024-09-29,35.5,27.1,0.00,3,17.5
2024-09-30,37.7,27.8,0.00,3,16.2
2024-10-01,37.7,26.9,0.00,0,22.6
2024-10-02,38.7,26.3,0.00,0,28.2
2024-10-03,37.5,25.5,0.00,0,29.2
2024-10-04,35.4,24.0,0.00,0,30.5
2024-10-05,35.4,24.5,0.00,1,26.7
2024-10-06,35.6,25.0,0.00,0,17.5
2024-10-07,35.9,25.3,0.00,1,14.4
2024-10-08,37.4,26.7,0.00,1,18.0
2024-10-09,36.3,25.9,0.00,1,11.4
2024-10-10,36.6,25.1,0.00,0,14.6
2024-10-11,36.4,23.7,0.00,0,15.2
2024-10-12,35.5,22.7,0.00,0,19.3
2024-10-13,34.6,24.8,0.00,3,19.5
2024-10-14,34.9,23.8,0.00,3,16.1
2024-10-15,34.6,25.8,0.00,3,11.2
2024-10-16,36.0,23.6,0.20,51,15.6
2024-10-17,36.5,26.7,0.00,3,18.7
2024-10-18,36.6,25.7,0.00,0,14.1
2024-10-19,37.2,25.7,0.00,1,16.6
2024-10-20,37.4,25.3,0.00,3,18.1
2024-10-21,34.1,26.6,0.30,51,17.1
2024-10-22,33.9,23.5,0.00,2,14.0
2024-10-23,35.5,22.5,0.00,0,12.2
2024-10-24,35.9,23.5,0.00,0,14.6
2024-10-25,36.8,24.3,0.00,3,11.8
2024-10-26,37.9,24.8,0.00,0,13.9
2024-10-27,38.7,25.3,0.00,2,16.8
2024-10-28,38.3,25.0,0.00,0,14.6
2024-10-29,37.8,25.1,0.00,0,16.6
2024-10-30,36.4,23.9,0.00,0,18.3
2024-10-31,35.1,22.0,0.00,0,14.7
2024-11-01,35.7,23.9,0.00,0,14.6
2024-11-02,35.4,24.2,0.00,0,20.9
2024-11-03,35.0,23.6,0.00,0,18.4
2024-11-04,34.5,22.9,0.00,0,14.0
2024-11-05,34.7,23.2,0.00,0,13.9
2024-11-06,35.0,22.6,0.00,0,13.8
2024-11-07,35.4,23.0,0.00,0,16.4
2024-11-08,34.9,22.3,0.00,0,17.5
2024-11-09,34.0,21.8,0.00,0,15.7
2024-11-10,34.0,21.1,0.00,0,15.5
2024-11-11,33.0,21.3,0.00,1,17.7
2024-11-12,32.6,21.4,0.00,3,16.1
2024-11-13,31.8,20.4,0.00,0,8.0
2024-11-14,31.9,20.2,0.00,3,8.9
2024-11-15,31.4,19.5,0.00,0,13.8
2024-11-16,30.4,20.2,0.00,0,9.6
2024-11-17,29.9,18.5,0.00,0,9.0
2024-11-18,29.5,17.0,0.00,0,9.2
2024-11-19,29.6,17.2,0.00,0,10.3
2024-11-20,29.6,17.1,0.00,0,10.6
2024-11-21,29.1,17.1,0.00,0,11.2
2024-11-22,28.8,16.8,0.00,0,10.4
2024-11-23,29.4,17.3,0.00,0,10.3
2024-11-24,29.5,17.5,0.00,3,9.9
2024-11-25,28.7,16.3,0.00,0,9.6
2024-11-26,30.0,17.8,0.00,0,10.1
2024-11-27,29.9,17.3,0.00,0,9.0
2024-11-28,30.3,17.9,0.00,0,11.4
2024-11-29,29.2,17.1,0.00,0,12.3
2024-11-30,27.3,14.5,0.00,0,9.4
2024-12-01,27.9,16.7,0.00,0,9.2
2024-12-02,28.0,16.6,0.00,0,10.2
2024-12-03,26.5,15.2,0.00,0,11.5
2024-12-04,26.2,15.5,0.00,0,11.0
2024-12-05,27.0,14.5,0.00,0,8.4
2024-12-06,26.4,15.3,0.00,3,11.4
2024-12-07,25.6,15.1,0.00,0,16.4
2024-12-08,23.3,12.9,0.00,2,22.7
2024-12-09,22.3,10.7,0.00,1,9.6
2024-12-10,21.8,10.0,0.00,1,10.3
2024-12-11,22.5,9.5,0.00,0,9.0
2024-12-12,21.5,9.8,0.00,0,9.5
2024-12-13,21.1,8.9,0.00,1,12.2
2024-12-14,21.5,8.2,0.00,0,9.4
2024-12-15,23.6,8.2,0.00,0,10.6
2024-12-16,22.8,8.4,0.00,0,9.4
2024-12-17,21.7,7.7,0.00,0,12.3
2024-12-18,21.2,7.9,0.00,1,12.3
2024-12-19,21.1,8.2,0.00,0,13.6
2024-12-20,20.4,8.6,0.00,0,17.4
2024-12-21,21.3,8.0,0.00,3,11.9
2024-12-22,22.5,9.5,0.00,3,10.5
2024-12-23,21.0,10.3,0.00,0,15.0
2024-12-24,19.6,10.4,0.00,1,16.0
2024-12-25,19.9,8.7,0.00,0,13.7
2024-12-26,21.1,9.4,0.00,1,13.3
2024-12-27,20.9,11.3,0.00,0,14.4
2024-12-28,21.8,9.3,0.00,0,8.7
2024-12-29,21.0,8.8,0.00,0,11.9
2024-12-30,21.4,7.9,0.00,1,10.2
2024-12-31,21.9,7.9,0.00,3,10.0
2025-01-01,22.5,8.2,0.00,3,10.1
2025-01-02,23.8,9.0,0.00,3,9.0
2025-01-03,23.5,10.2,0.00,3,8.0
2025-01-04,23.0,10.2,0.00,0,8.6
2025-01-05,21.2,10.1,0.00,0,10.0
2025-01-06,21.1,8.6,0.00,0,10.7
2025-01-07,20.8,7.0,0.00,0,8.9
2025-01-08,24.0,7.7,0.00,2,9.5
2025-01-09,25.4,10.7,0.00,3,10.8
2025-01-10,24.6,10.7,0.00,1,11.4
2025-01-11,20.9,11.7,1.80,55,11.4
2025-01-12,18.5,8.1,0.00,2,13.6
2025-01-13,18.3,8.2,0.00,1,10.4
2025-01-14,19.3,7.4,0.00,0,9.1
2025-01-15,19.7,8.6,0.00,0,12.1
2025-01-16,20.8,9.1,0.00,0,9.2
2025-01-17,19.8,8.4,0.00,2,14.6
2025-01-18,20.7,7.9,0.00,3,10.0
2025-01-19,21.6,8.4,0.00,3,9.0
2025-01-20,22.6,9.6,0.00,0,9.3
2025-01-21,22.7,10.2,0.00,0,9.1
2025-01-22,23.2,10.4,0.00,0,10.1
2025-01-23,22.5,11.2,0.00,0,13.2
2025-01-24,22.3,10.1,0.00,0,10.6
2025-01-25,22.9,9.3,0.00,0,6.7
2025-01-26,23.6,10.5,0.00,0,6.5
2025-01-27,25.4,11.4,0.00,0,6.1
2025-01-28,26.9,11.3,0.00,0,9.3
2025-01-29,26.5,13.2,0.00,2,11.0
2025-01-30,23.8,11.3,0.00,0,9.2
2025-01-31,23.7,11.2,0.00,0,9.2
2025-02-01,23.7,10.8,0.00,0,12.8
2025-02-02,23.3,11.3,0.00,0,16.1
2025-02-03,23.2,10.4,0.00,0,11.4
2025-02-04,23.7,12.0,0.00,1,9.4
2025-02-05,23.6,11.1,0.00,0,8.9
2025-02-06,23.7,10.3,0.00,0,8.5
2025-02-07,24.4,10.5,0.00,3,11.3
2025-02-08,26.3,12.3,0.00,3,9.1
2025-02-09,28.1,13.3,0.00,3,7.8
2025-02-10,29.2,15.9,0.00,3,11.5
2025-02-11,28.1,15.2,0.00,3,11.8
2025-02-12,28.0,15.0,0.00,2,11.3
2025-02-13,28.4,13.7,0.00,3,9.1
2025-02-14,30.1,16.9,0.00,3,14.0
2025-02-15,30.1,18.6,0.00,3,15.7
2025-02-16,31.8,16.2,0.00,3,17.0
2025-02-17,30.3,17.0,0.00,3,11.0
2025-02-18,30.2,18.2,0.00,3,10.8
2025-02-19,30.6,18.3,0.10,51,23.3
2025-02-20,27.9,14.9,0.00,1,9.4
2025-02-21,27.9,14.8,0.00,3,13.1
2025-02-22,27.9,14.1,0.00,0,11.1
2025-02-23,30.2,16.2,0.00,1,11.1
2025-02-24,32.4,17.0,0.00,2,10.3
2025-02-25,32.2,18.9,0.00,3,15.8
2025-02-26,32.8,20.6,0.00,3,16.5
2025-02-27,28.0,19.4,0.00,3,10.8
2025-02-28,30.6,20.7,0.00,3,23.7
2025-03-01,29.6,18.2,0.00,3,15.0
2025-03-02,29.7,16.8,0.00,0,11.0
2025-03-03,29.7,19.6,0.00,1,22.2
2025-03-04,25.4,14.8,0.00,0,18.2
2025-03-05,28.0,11.7,0.00,1,10.1
2025-03-06,32.2,16.6,0.00,0,17.6
2025-03-07,34.0,19.0,0.00,0,17.1
2025-03-08,34.1,21.0,0.00,0,16.7
2025-03-09,35.1,19.7,0.00,3,11.7
2025-03-10,37.3,21.8,0.00,3,11.9
2025-03-11,35.8,20.6,0.00,3,13.2
2025-03-12,34.8,19.2,0.00,3,12.5
2025-03-13,35.7,22.4,0.00,3,18.4
2025-03-14,35.4,23.2,0.00,3,19.2
2025-03-15,30.2,19.6,0.00,3,12.6
2025-03-16,30.0,18.9,0.00,3,11.5
2025-03-17,32.1,18.0,0.00,3,10.8
2025-03-18,33.1,18.8,0.00,2,12.2
2025-03-19,35.8,19.9,0.00,2,16.8
2025-03-20,34.4,19.2,0.00,3,13.0
2025-03-21,34.1,20.1,0.00,0,12.3
2025-03-22,35.9,21.8,0.00,0,10.7
2025-03-23,37.6,21.2,0.00,0,10.4
2025-03-24,37.8,23.7,0.00,0,14.6
2025-03-25,36.2,23.1,0.00,2,23.0
2025-03-26,35.0,23.5,0.00,3,20.5
2025-03-27,31.8,21.3,0.00,0,19.5
2025-03-28,29.3,17.2,0.00,3,15.3
2025-03-29,30.6,17.2,0.00,3,12.1
2025-03-30,33.8,19.7,0.00,0,7.6
2025-03-31,35.5,20.5,0.00,0,11.5
2025-04-01,36.2,21.4,0.00,0,10.4
2025-04-02,37.5,22.1,0.00,0,12.4
2025-04-03,39.0,23.3,0.00,0,16.4
2025-04-04,36.7,21.9,0.00,0,14.6
2025-04-05,39.6,22.8,0.00,0,13.6
2025-04-06,42.1,25.9,0.00,0,14.5
2025-04-07,42.9,26.2,0.00,0,21.4
2025-04-08,42.4,27.2,0.00,0,19.8
2025-04-09,40.7,27.2,0.00,3,20.0
2025-04-10,38.6,26.0,0.00,3,19.1
2025-04-11,38.0,25.9,0.00,2,18.3
2025-04-12,39.2,25.4,0.00,1,18.8
2025-04-13,41.0,26.4,0.00,0,12.3
2025-04-14,42.3,26.6,0.00,0,18.9
2025-04-15,43.5,27.6,0.00,0,15.5
2025-04-16,44.5,28.2,0.00,2,18.4
2025-04-17,43.1,27.1,0.00,1,19.8
2025-04-18,42.0,27.9,0.00,0,28.4
2025-04-19,39.4,24.8,0.00,0,24.7
2025-04-20,37.4,25.6,0.00,0,19.5
2025-04-21,38.2,24.3,0.00,2,15.7
2025-04-22,39.0,23.7,0.00,0,17.4
2025-04-23,40.2,25.2,0.00,1,16.0
2025-04-24,41.3,26.4,0.00,0,18.8
2025-04-25,41.0,26.8,0.00,0,19.1
2025-04-26,42.0,26.0,0.00,0,17.4
2025-04-27,43.1,26.5,0.00,0,15.2
2025-04-28,43.8,27.8,0.00,0,19.0
2025-04-29,44.7,28.0,0.00,1,14.0
2025-04-30,45.0,28.9,0.00,2,15.4
2025-05-01,42.9,28.8,0.10,51,20.6
2025-05-02,41.5,28.7,0.00,3,17.9
2025-05-03,40.2,27.8,0.00,3,23.6
2025-05-04,38.5,24.4,2.30,61,25.8
2025-05-05,33.4,24.0,0.70,53,11.5
2025-05-06,34.4,22.8,0.00,3,12.3
2025-05-07,35.5,22.9,0.00,1,13.1
2025-05-08,37.5,24.3,0.00,1,14.6
2025-05-09,37.0,23.5,0.00,3,15.1
2025-05-10,38.2,25.6,0.00,1,11.2
2025-05-11,39.9,26.6,0.00,0,14.8
2025-05-12,40.7,26.4,0.00,1,21.6
2025-05-13,41.3,27.0,0.00,1,20.5
2025-05-14,42.3,27.7,0.00,1,20.7
2025-05-15,43.2,28.2,0.00,1,20.8
2025-05-16,42.7,28.8,0.00,0,21.6
2025-05-17,41.7,28.5,0.00,0,23.5
2025-05-18,41.4,28.7,0.00,0,24.9
2025-05-19,42.7,29.1,0.00,0,26.1
2025-05-20,42.5,28.7,0.00,0,20.2
2025-05-21,43.2,28.6,0.00,0,21.5
2025-05-22,43.8,29.3,0.00,0,21.8
2025-05-23,44.7,30.0,0.00,0,21.0
2025-05-24,44.6,28.6,0.00,1,20.9
2025-05-25,44.6,31.3,0.00,1,13.1
2025-05-26,42.9,31.1,0.00,0,15.8
2025-05-27,44.3,31.0,0.00,1,12.0
2025-05-28,43.6,31.5,0.00,3,25.1
2025-05-29,41.9,29.9,0.00,3,17.8
2025-05-30,41.9,28.6,0.00,1,22.7
2025-05-31,41.2,27.4,0.00,0,27.9
2025-06-01,39.6,26.3,0.00,2,25.9
2025-06-02,40.8,27.5,0.00,3,21.9
2025-06-03,40.0,26.4,0.00,1,23.4
2025-06-04,39.5,27.5,0.00,0,19.0
2025-06-05,39.6,28.1,0.00,0,20.4
2025-06-06,40.9,28.2,0.00,0,19.6
2025-06-07,42.7,27.1,0.00,0,20.3
2025-06-08,42.6,26.6,0.00,0,22.4
2025-06-09,42.2,27.0,0.00,0,21.8
2025-06-10,41.4,26.5,0.00,0,22.7
2025-06-11,41.3,26.9,0.00,2,21.1
2025-06-12,43.1,28.4,0.00,0,18.1
2025-06-13,44.6,30.2,0.00,1,16.1
2025-06-14,38.9,29.7,0.40,51,21.3
2025-06-15,35.9,27.5,2.70,55,19.3
2025-06-16,36.9,27.5,0.00,3,17.3
2025-06-17,37.2,27.5,1.50,53,22.4
2025-06-18,40.8,27.1,0.00,3,11.7
2025-06-19,41.4,28.9,0.00,1,22.2
2025-06-20,39.5,28.0,0.40,51,24.2
2025-06-21,37.2,29.4,0.30,51,21.3
2025-06-22,39.6,29.6,0.00,3,19.7
2025-06-23,39.4,28.5,0.00,3,19.0
2025-06-24,39.8,29.6,0.00,3,18.2
2025-06-25,40.6,29.3,1.10,53,17.2
2025-06-26,40.4,28.3,24.40,65,14.0
2025-06-27,35.5,27.3,7.50,63,16.9
2025-06-28,35.7,27.0,0.10,51,10.8
2025-06-29,34.9,26.6,0.40,51,19.6
2025-06-30,37.1,26.7,0.00,3,21.9
2025-07-01,36.1,26.9,0.00,3,18.5
2025-07-02,36.3,27.0,0.30,51,18.5
2025-07-03,35.5,27.6,1.70,53,13.8
2025-07-04,34.9,27.2,5.40,63,18.5
2025-07-05,35.9,26.8,0.10,51,17.5
2025-07-06,35.1,27.4,0.00,3,16.4
2025-07-07,36.6,26.2,0.00,3,16.1
2025-07-08,35.3,26.4,0.30,51,16.8
2025-07-09,35.8,27.0,0.00,3,18.1
2025-07-10,34.7,26.9,0.00,3,15.9
2025-07-11,36.4,27.0,10.10,63,20.7
2025-07-12,36.4,26.3,0.00,3,14.9
2025-07-13,37.0,27.5,0.00,2,15.7
2025-07-14,36.8,27.3,0.00,3,14.1
2025-07-15,36.0,26.6,0.00,3,13.9
2025-07-16,36.0,26.8,0.00,3,14.5
2025-07-17,36.3,27.1,0.10,51,15.3
2025-07-18,34.3,26.5,8.80,63,15.8
2025-07-19,32.1,25.4,45.80,65,14.9
2025-07-20,31.5,25.2,8.90,61,14.0
2025-07-21,34.4,25.9,0.60,51,13.1
2025-07-22,34.8,27.2,0.00,3,17.8
2025-07-23,33.8,26.2,0.00,3,23.8
2025-07-24,33.1,25.8,0.00,3,19.4
2025-07-25,34.8,26.6,0.00,2,14.4
2025-07-26,35.6,26.8,0.00,3,16.2
2025-07-27,32.1,27.1,3.50,63,16.0
2025-07-28,30.0,26.9,0.00,3,17.7
2025-07-29,33.8,25.5,0.00,3,25.2
2025-07-30,33.8,24.9,0.00,3,21.6
2025-07-31,33.3,26.0,0.00,3,14.8
2025-08-01,33.3,26.2,0.50,51,17.4
2025-08-02,33.1,25.9,0.00,3,18.9
2025-08-03,33.9,25.2,0.00,3,19.8
2025-08-04,34.6,25.9,0.00,3,20.4
2025-08-05,34.3,25.4,0.00,3,23.6
2025-08-06,35.1,24.9,0.00,3,22.4
2025-08-07,34.4,25.4,0.00,1,19.5
2025-08-08,34.9,25.4,0.00,0,20.2
2025-08-09,35.5,25.8,0.00,3,16.2
2025-08-10,35.6,26.0,0.00,2,16.5
2025-08-11,35.1,25.9,0.00,3,20.1
2025-08-12,34.8,25.7,0.00,3,23.2
2025-08-13,36.2,26.2,0.00,3,18.2
2025-08-14,35.6,27.1,0.30,51,13.0
2025-08-15,35.9,27.6,1.30,55,12.2
2025-08-16,NaN,NaN,NaN,NaN,NaN
2025-08-17,NaN,NaN,NaN,NaN,NaN
