time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,30.0,25.7,7.00,63,6.9
2024-08-23,30.9,24.7,13.90,63,12.6
2024-08-24,28.1,24.5,34.30,63,20.6
2024-08-25,31.6,25.0,21.40,65,16.3
2024-08-26,30.9,24.4,21.60,63,12.7
2024-08-27,30.4,24.8,6.80,61,9.6
2024-08-28,31.8,24.9,0.10,51,13.1
2024-08-29,31.5,25.1,0.10,51,8.9
2024-08-30,31.7,25.3,7.30,63,8.4
2024-08-31,32.4,24.6,0.60,51,8.8
2024-09-01,32.6,25.4,4.70,61,15.8
2024-09-02,32.0,25.6,3.80,63,16.4
2024-09-03,33.1,25.9,0.40,51,12.6
2024-09-04,32.5,25.6,4.60,63,13.0
2024-09-05,30.3,25.2,13.80,65,7.6
2024-09-06,30.9,25.4,11.00,65,13.8
2024-09-07,32.1,25.0,11.70,63,8.9
2024-09-08,32.3,25.1,4.10,63,8.9
2024-09-09,31.5,25.1,10.20,63,9.6
2024-09-10,31.1,25.1,31.60,65,17.2
2024-09-11,29.7,24.8,34.00,65,24.6
2024-09-12,29.7,25.4,10.10,61,29.3
2024-09-13,30.8,25.0,1.00,53,20.3
2024-09-14,30.6,23.9,1.40,51,16.9
2024-09-15,30.9,24.1,0.30,51,15.0
2024-09-16,30.8,25.1,0.10,51,16.8
2024-09-17,28.0,24.0,60.50,65,26.3
2024-09-18,29.6,23.9,2.20,53,22.5
2024-09-19,30.1,23.0,0.10,51,15.6
2024-09-20,31.7,22.4,0.00,2,6.5
2024-09-21,32.7,24.0,0.00,2,7.2
2024-09-22,33.0,25.1,0.00,2,10.1
2024-09-23,33.1,25.1,0.00,3,9.4
2024-09-24,33.0,24.6,0.00,3,8.7
2024-09-25,31.5,25.8,3.80,61,15.0
2024-09-26,30.4,24.9,2.40,55,15.2
2024-09-27,30.3,24.2,19.00,65,11.7
2024-09-28,30.6,24.8,18.20,63,14.1
2024-09-29,31.0,24.5,16.60,63,11.3
2024-09-30,31.5,24.4,0.80,51,11.9
2024-10-01,32.9,24.0,0.00,1,11.9
2024-10-02,33.9,25.3,0.00,3,18.4
2024-10-03,33.9,25.0,0.00,3,17.7
2024-10-04,33.4,24.1,0.00,3,12.3
2024-10-05,33.1,23.1,0.90,53,13.0
2024-10-06,31.8,23.0,0.80,51,19.6
2024-10-07,31.3,22.7,0.00,1,6.8
2024-10-08,31.8,22.8,0.40,51,8.4
2024-10-09,32.7,23.5,0.00,0,11.4
2024-10-10,32.2,22.4,0.00,3,9.7
2024-10-11,32.5,23.0,0.00,3,10.1
2024-10-12,31.1,24.8,0.00,3,9.0
2024-10-13,31.7,23.1,0.30,51,12.2
2024-10-14,30.4,23.4,0.00,3,11.2
2024-10-15,31.2,22.7,0.70,51,7.1
2024-10-16,31.9,21.6,0.00,3,9.2
2024-10-17,31.8,20.0,0.00,3,9.4
2024-10-18,32.0,20.8,0.00,3,8.8
2024-10-19,32.9,19.8,0.00,0,8.1
2024-10-20,33.5,21.2,0.10,51,11.6
2024-10-21,32.2,20.4,0.00,1,8.9
2024-10-22,32.7,21.0,0.00,0,11.2
2024-10-23,32.7,20.4,0.00,0,16.1
2024-10-24,31.0,20.6,0.10,51,12.9
2024-10-25,31.8,21.8,0.00,3,11.1
2024-10-26,31.8,20.7,0.00,3,11.3
2024-10-27,30.8,20.2,0.00,3,12.5
2024-10-28,30.5,22.4,0.80,53,9.8
2024-10-29,32.2,23.1,0.00,3,7.4
2024-10-30,33.4,22.0,0.00,0,7.8
2024-10-31,35.0,22.1,0.00,0,12.1
2024-11-01,33.8,21.7,0.00,1,10.5
2024-11-02,32.6,20.2,0.00,3,14.2
2024-11-03,32.2,19.0,0.00,0,13.5
2024-11-04,30.6,18.7,0.00,0,9.0
2024-11-05,30.2,18.8,0.00,0,9.3
2024-11-06,30.3,19.4,0.00,0,9.5
2024-11-07,29.7,19.0,0.00,1,8.5
2024-11-08,29.9,19.3,0.20,51,8.2
2024-11-09,30.3,19.4,0.00,0,8.9
2024-11-10,30.5,18.3,0.00,0,9.3
2024-11-11,30.3,18.0,0.00,0,8.1
2024-11-12,30.2,17.8,0.00,0,7.1
2024-11-13,30.5,17.8,0.00,0,11.7
2024-11-14,29.7,17.6,0.00,0,7.9
2024-11-15,29.6,16.8,0.00,2,6.6
2024-11-16,29.8,16.5,0.00,2,10.7
2024-11-17,29.6,16.9,0.00,0,9.2
2024-11-18,29.1,16.3,0.00,0,8.4
2024-11-19,27.1,16.2,0.00,0,10.7
2024-11-20,25.2,13.3,0.00,0,7.1
2024-11-21,25.0,12.6,0.00,0,7.2
2024-11-22,24.9,12.5,0.00,0,8.5
2024-11-23,25.7,13.1,0.00,0,8.9
2024-11-24,26.4,13.5,0.00,3,7.9
2024-11-25,27.1,13.6,0.00,3,8.3
2024-11-26,26.6,13.6,0.00,0,10.7
2024-11-27,25.7,12.7,0.00,0,9.4
2024-11-28,24.5,13.0,0.00,0,8.2
2024-11-29,24.0,12.2,0.00,0,7.6
2024-11-30,23.6,11.5,0.00,0,6.4
2024-12-01,23.5,11.1,0.00,3,6.5
2024-12-02,24.4,11.4,0.00,3,7.3
2024-12-03,25.5,12.7,0.00,0,6.5
2024-12-04,26.7,13.2,0.00,2,8.8
2024-12-05,25.4,13.1,0.00,0,6.3
2024-12-06,24.8,12.4,0.00,3,7.9
2024-12-07,24.6,10.1,0.00,1,8.4
2024-12-08,24.7,11.7,0.00,0,12.7
2024-12-09,23.7,12.4,0.00,1,13.7
2024-12-10,21.3,10.1,0.00,0,9.6
2024-12-11,21.3,9.0,0.00,3,6.0
2024-12-12,21.8,7.1,0.00,3,9.6
2024-12-13,21.6,7.2,0.00,3,12.0
2024-12-14,21.2,6.7,0.00,0,7.8
2024-12-15,22.0,6.5,0.00,0,6.9
2024-12-16,21.6,7.5,0.00,0,7.0
2024-12-17,21.9,7.1,0.00,0,5.6
2024-12-18,22.3,8.8,0.00,0,5.4
2024-12-19,23.5,9.2,0.00,0,10.1
2024-12-20,24.2,9.8,0.00,0,10.0
2024-12-21,23.5,10.0,0.00,3,8.6
2024-12-22,23.5,9.8,0.00,0,11.2
2024-12-23,24.9,10.5,0.00,2,9.2
2024-12-24,23.0,14.9,3.10,61,13.8
2024-12-25,22.0,14.1,10.50,65,10.8
2024-12-26,24.1,14.6,0.00,3,11.6
2024-12-27,28.6,14.5,0.00,3,9.1
2024-12-28,22.8,17.5,15.30,63,12.9
2024-12-29,22.2,13.4,0.30,51,10.6
2024-12-30,20.4,10.1,0.00,1,7.5
2024-12-31,19.7,8.5,0.00,3,6.3
2025-01-01,19.1,7.6,0.00,3,5.4
2025-01-02,20.7,7.5,0.00,3,7.8
2025-01-03,22.7,7.7,0.00,3,6.5
2025-01-04,23.2,7.7,0.00,0,7.1
2025-01-05,20.8,9.1,0.00,3,8.0
2025-01-06,20.6,10.7,0.00,3,9.2
2025-01-07,19.2,9.5,0.00,3,11.3
2025-01-08,18.9,8.2,0.00,3,8.0
2025-01-09,20.6,7.5,0.00,0,6.7
2025-01-10,21.1,8.1,0.00,2,8.4
2025-01-11,24.1,8.1,0.00,3,7.3
2025-01-12,20.4,11.4,4.30,63,12.5
2025-01-13,19.7,10.9,0.10,51,7.6
2025-01-14,20.1,8.3,0.00,0,6.6
2025-01-15,22.2,8.0,0.00,3,11.2
2025-01-16,21.9,9.7,0.00,3,13.1
2025-01-17,20.2,10.0,0.00,3,7.7
2025-01-18,21.4,9.1,0.00,3,6.0
2025-01-19,23.0,8.7,0.00,3,6.7
2025-01-20,25.1,11.9,0.00,2,9.8
2025-01-21,24.9,12.5,0.00,0,8.7
2025-01-22,25.1,11.6,0.00,0,5.6
2025-01-23,26.3,13.0,0.00,3,10.6
2025-01-24,23.4,12.9,0.00,1,9.8
2025-01-25,22.4,9.0,0.00,0,7.6
2025-01-26,22.3,8.2,0.00,0,5.9
2025-01-27,22.7,7.9,0.00,0,6.8
2025-01-28,22.7,7.6,0.00,0,5.1
2025-01-29,25.0,10.8,0.00,3,9.3
2025-01-30,27.3,10.1,0.00,3,6.9
2025-01-31,27.1,11.6,0.00,0,6.8
2025-02-01,28.0,12.1,0.00,2,7.4
2025-02-02,26.9,13.4,0.00,0,7.2
2025-02-03,25.7,13.4,0.00,3,10.3
2025-02-04,27.1,14.4,0.00,3,12.9
2025-02-05,26.7,15.4,0.00,3,13.1
2025-02-06,23.1,10.4,0.00,0,10.4
2025-02-07,22.9,9.5,0.00,0,10.7
2025-02-08,24.2,8.9,0.00,3,7.1
2025-02-09,25.4,9.5,0.00,2,6.5
2025-02-10,27.7,10.7,0.00,2,6.4
2025-02-11,28.2,12.9,0.00,0,7.0
2025-02-12,29.1,13.6,0.00,0,14.2
2025-02-13,24.9,11.4,0.00,0,15.9
2025-02-14,26.8,11.4,0.00,0,15.7
2025-02-15,29.8,13.7,0.00,1,10.4
2025-02-16,29.0,13.8,0.00,0,6.7
2025-02-17,28.4,15.5,0.00,0,8.8
2025-02-18,28.1,15.0,0.00,1,11.3
2025-02-19,27.3,15.4,0.00,3,7.7
2025-02-20,29.5,15.5,0.00,1,10.8
2025-02-21,29.2,14.8,0.00,0,10.1
2025-02-22,28.2,16.0,0.00,0,13.9
2025-02-23,26.6,14.2,0.00,0,6.6
2025-02-24,27.8,14.1,0.00,0,9.8
2025-02-25,28.4,13.3,0.00,3,10.6
2025-02-26,28.9,14.1,0.00,3,9.1
2025-02-27,32.0,15.3,0.00,3,12.0
2025-02-28,34.2,19.0,0.00,3,21.9
2025-03-01,31.1,19.3,0.30,51,12.1
2025-03-02,31.1,16.4,0.00,1,11.5
2025-03-03,29.3,17.2,0.00,1,7.0
2025-03-04,30.6,17.0,0.00,1,18.2
2025-03-05,25.5,15.0,0.00,0,21.1
2025-03-06,27.9,11.4,0.00,0,15.1
2025-03-07,31.1,12.3,0.00,0,12.0
2025-03-08,30.1,13.4,0.00,0,8.6
2025-03-09,31.6,14.7,0.00,0,10.1
2025-03-10,31.9,17.3,0.00,1,10.8
2025-03-11,35.0,15.5,0.00,1,10.7
2025-03-12,37.1,18.1,0.00,3,16.5
2025-03-13,37.3,18.4,0.00,2,17.8
2025-03-14,36.2,18.1,0.00,0,9.4
2025-03-15,37.7,19.4,0.00,1,11.7
2025-03-16,33.9,21.8,0.00,3,16.6
2025-03-17,32.4,19.4,0.00,3,15.0
2025-03-18,32.4,17.9,0.00,3,14.4
2025-03-19,32.6,17.7,0.00,0,10.3
2025-03-20,33.3,19.7,0.00,2,11.0
2025-03-21,32.5,18.2,0.00,1,11.9
2025-03-22,33.2,16.9,0.00,2,13.4
2025-03-23,32.4,16.6,0.00,2,14.4
2025-03-24,33.3,18.0,0.00,0,12.7
2025-03-25,35.5,16.9,0.00,0,12.6
2025-03-26,38.7,18.7,0.00,0,18.0
2025-03-27,39.0,19.5,0.00,0,16.9
2025-03-28,36.0,21.9,0.00,2,16.1
2025-03-29,32.7,18.0,0.00,0,11.7
2025-03-30,34.1,16.2,0.00,0,8.9
2025-03-31,34.6,18.7,0.00,0,8.3
2025-04-01,34.8,19.6,0.00,3,10.8
2025-04-02,35.1,22.3,0.00,3,9.9
2025-04-03,35.5,19.4,0.00,3,14.6
2025-04-04,37.9,21.2,0.00,1,15.2
2025-04-05,39.1,20.9,0.00,0,18.9
2025-04-06,38.9,20.6,0.00,0,16.1
2025-04-07,39.6,20.1,0.00,0,16.3
2025-04-08,39.6,23.1,0.00,0,15.0
2025-04-09,39.1,24.4,0.00,2,16.3
2025-04-10,39.5,24.5,0.00,3,20.6
2025-04-11,39.5,22.6,0.00,3,19.3
2025-04-12,38.7,21.8,0.00,2,23.0
2025-04-13,37.6,22.8,0.00,3,18.4
2025-04-14,36.0,23.4,0.00,0,13.9
2025-04-15,36.4,22.2,0.00,0,12.0
2025-04-16,37.4,23.3,0.00,0,12.0
2025-04-17,39.1,22.4,0.00,1,12.4
2025-04-18,42.9,26.6,0.00,0,18.0
2025-04-19,40.8,23.7,0.00,1,14.5
2025-04-20,40.9,24.9,0.00,0,16.4
2025-04-21,41.7,24.3,0.00,0,16.3
2025-04-22,40.7,23.1,0.00,0,13.4
2025-04-23,40.9,21.8,0.00,0,15.7
2025-04-24,41.5,20.8,0.00,0,16.0
2025-04-25,42.8,22.4,0.00,0,13.1
2025-04-26,40.5,22.8,0.00,3,25.6
2025-04-27,39.0,25.7,0.00,3,24.4
2025-04-28,39.8,24.3,0.00,1,14.0
2025-04-29,39.2,24.3,0.00,2,17.5
2025-04-30,38.3,22.2,0.00,2,16.0
2025-05-01,39.4,23.8,0.00,3,21.1
2025-05-02,36.5,22.8,0.40,51,13.6
2025-05-03,39.1,24.2,0.00,3,21.4
2025-05-04,38.3,25.0,0.00,3,18.6
2025-05-05,37.7,25.8,0.00,3,13.4
2025-05-06,37.6,22.7,0.00,3,13.3
2025-05-07,37.3,24.7,0.00,3,19.0
2025-05-08,36.6,25.1,0.00,3,19.0
2025-05-09,36.7,26.0,0.00,3,12.2
2025-05-10,39.5,25.5,0.00,2,19.1
2025-05-11,40.0,27.2,0.20,51,20.7
2025-05-12,40.7,27.3,0.00,3,14.7
2025-05-13,41.3,25.9,0.00,3,14.0
2025-05-14,41.6,29.4,0.00,3,14.4
2025-05-15,41.6,30.1,0.00,3,15.8
2025-05-16,43.1,28.9,0.00,3,13.5
2025-05-17,42.5,27.3,0.00,3,14.0
2025-05-18,42.2,28.4,0.00,2,17.5
2025-05-19,42.9,28.3,0.00,3,15.0
2025-05-20,43.3,30.1,0.00,3,17.4
2025-05-21,43.3,28.6,0.00,3,18.2
2025-05-22,40.2,27.7,0.00,3,17.7
2025-05-23,39.5,27.2,0.10,51,13.8
2025-05-24,37.0,28.9,0.40,51,15.0
2025-05-25,37.5,27.8,0.00,3,13.5
2025-05-26,37.8,27.1,0.00,3,11.3
2025-05-27,37.5,28.3,2.10,55,14.3
2025-05-28,38.7,23.9,13.90,65,12.2
2025-05-29,39.6,28.4,0.10,51,11.8
2025-05-30,40.8,28.7,0.00,3,14.4
2025-05-31,39.1,28.9,0.30,51,15.9
2025-06-01,39.4,29.3,0.50,53,21.1
2025-06-02,38.5,27.5,0.00,3,20.2
2025-06-03,32.7,25.3,6.00,63,18.6
2025-06-04,37.0,25.3,0.00,3,10.1
2025-06-05,37.1,24.8,0.00,3,6.1
2025-06-06,37.3,25.1,0.00,1,10.8
2025-06-07,40.0,26.2,0.00,1,10.5
2025-06-08,41.5,26.4,0.00,1,16.5
2025-06-09,42.7,27.3,0.00,1,18.5
2025-06-10,41.7,27.2,0.00,3,18.1
2025-06-11,40.4,29.0,0.00,3,11.1
2025-06-12,40.7,30.0,0.00,1,12.2
2025-06-13,40.4,30.1,0.00,3,16.3
2025-06-14,40.8,30.3,0.00,3,12.5
2025-06-15,38.8,29.2,0.40,51,14.2
2025-06-16,38.3,28.8,0.00,3,10.0
2025-06-17,37.6,28.8,0.40,51,17.9
2025-06-18,37.1,28.7,0.00,3,11.5
2025-06-19,36.5,26.6,21.50,63,13.5
2025-06-20,33.1,25.3,12.30,61,14.7
2025-06-21,32.9,25.8,23.40,65,14.9
2025-06-22,33.0,25.6,8.90,63,18.7
2025-06-23,31.2,25.7,14.40,63,10.3
2025-06-24,34.8,25.9,2.20,53,10.7
2025-06-25,34.0,26.4,1.00,51,9.7
2025-06-26,34.3,26.3,13.30,65,11.1
2025-06-27,33.5,25.9,5.30,63,10.3
2025-06-28,33.2,25.0,11.70,63,17.7
2025-06-29,33.6,25.7,7.60,63,17.5
2025-06-30,31.3,24.5,20.00,63,12.5
2025-07-01,30.1,24.2,12.70,61,14.8
2025-07-02,32.9,25.1,10.20,63,9.9
2025-07-03,32.2,25.7,9.50,63,15.6
2025-07-04,32.6,24.9,20.90,65,10.2
2025-07-05,31.5,24.9,31.30,63,12.5
2025-07-06,32.4,24.6,8.10,63,10.1
2025-07-07,33.7,24.6,5.90,61,15.9
2025-07-08,34.2,25.3,7.90,63,19.1
2025-07-09,31.5,24.7,12.80,63,12.0
2025-07-10,32.6,25.0,16.80,63,11.2
2025-07-11,31.4,24.7,17.90,63,10.1
2025-07-12,28.2,24.6,55.00,65,16.6
2025-07-13,31.7,25.0,1.20,51,16.4
2025-07-14,32.5,25.3,0.70,51,15.7
2025-07-15,33.0,25.7,0.40,51,11.4
2025-07-16,31.6,25.6,23.70,63,13.6
2025-07-17,28.1,25.4,61.00,65,20.1
2025-07-18,30.9,24.8,18.00,63,18.9
2025-07-19,34.0,24.8,0.00,3,11.9
2025-07-20,32.2,25.4,0.10,51,8.1
2025-07-21,33.3,26.4,0.00,3,10.9
2025-07-22,32.9,26.1,8.30,63,10.4
2025-07-23,32.2,25.8,25.80,65,15.7
2025-07-24,31.6,25.4,12.20,63,10.3
2025-07-25,32.4,24.7,51.60,65,14.4
2025-07-26,31.0,25.6,35.30,65,20.3
2025-07-27,31.9,25.6,6.50,61,14.7
2025-07-28,30.6,26.5,0.90,51,17.7
2025-07-29,30.5,25.6,12.60,61,7.1
2025-07-30,30.9,25.6,15.30,63,13.1
2025-07-31,29.1,25.2,2.80,53,19.9
2025-08-01,30.9,25.4,8.20,63,15.7
2025-08-02,30.7,25.0,22.10,63,15.8
2025-08-03,28.0,25.3,16.80,61,13.3
2025-08-04,28.6,25.2,6.00,53,11.6
2025-08-05,32.0,25.1,0.70,51,16.4
2025-08-06,32.7,25.3,0.00,3,13.2
2025-08-07,33.0,25.5,0.10,51,14.9
2025-08-08,28.6,26.3,7.10,61,11.6
2025-08-09,31.4,25.4,16.40,63,14.4
2025-08-10,32.5,25.0,3.80,63,16.7
2025-08-11,31.2,25.9,14.50,63,15.1
2025-08-12,30.7,25.4,26.90,65,12.7
2025-08-13,29.5,25.8,15.80,63,8.6
2025-08-14,31.8,25.0,3.40,53,9.8
