time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,21.7,16.3,3.60,53,14.1
2024-08-23,22.5,16.3,1.60,51,12.4
2024-08-24,19.0,15.8,10.20,61,15.8
2024-08-25,21.0,15.5,3.60,53,19.2
2024-08-26,19.0,16.0,9.40,53,17.6
2024-08-27,19.2,16.5,11.50,55,17.7
2024-08-28,20.3,16.1,5.20,53,15.8
2024-08-29,19.3,16.8,19.10,63,17.3
2024-08-30,19.2,17.0,18.10,63,16.2
2024-08-31,20.4,17.1,8.20,55,16.6
2024-09-01,19.6,17.0,18.70,63,17.1
2024-09-02,21.2,17.3,10.30,61,15.6
2024-09-03,19.6,16.0,9.10,61,15.0
2024-09-04,20.1,15.8,4.60,53,15.6
2024-09-05,21.3,16.2,3.80,53,15.9
2024-09-06,20.9,16.6,5.20,53,16.3
2024-09-07,21.3,15.9,2.80,53,15.2
2024-09-08,20.0,16.2,10.20,61,16.3
2024-09-09,19.1,17.1,26.60,63,19.6
2024-09-10,18.8,16.8,17.50,61,19.5
2024-09-11,19.6,17.1,16.60,61,16.5
2024-09-12,20.7,16.8,5.40,55,16.5
2024-09-13,22.0,16.0,2.50,53,14.3
2024-09-14,20.8,16.3,4.20,55,14.3
2024-09-15,21.8,15.9,6.50,63,13.7
2024-09-16,22.4,15.7,0.90,51,14.5
2024-09-17,22.0,15.1,2.50,53,16.9
2024-09-18,22.2,14.3,0.00,3,12.8
2024-09-19,21.7,14.3,0.50,51,13.0
2024-09-20,21.9,14.3,0.50,51,14.4
2024-09-21,21.5,14.6,0.80,51,13.8
2024-09-22,21.6,14.9,1.80,53,14.6
2024-09-23,20.9,17.0,12.20,61,15.6
2024-09-24,20.1,15.5,11.00,61,16.8
2024-09-25,21.3,15.9,4.30,53,15.5
2024-09-26,22.7,16.3,1.20,51,13.2
2024-09-27,22.5,15.5,3.20,61,11.2
2024-09-28,22.5,15.8,27.40,65,6.6
2024-09-29,23.6,16.5,21.10,63,7.7
2024-09-30,24.1,15.8,0.70,51,8.8
2024-10-01,24.6,16.0,1.70,53,11.7
2024-10-02,22.6,16.2,7.60,63,9.8
2024-10-03,22.1,16.2,9.60,63,9.0
2024-10-04,21.8,16.8,15.60,63,10.0
2024-10-05,22.3,17.1,3.40,53,7.0
2024-10-06,22.0,16.0,33.50,65,6.7
2024-10-07,21.9,16.7,27.80,65,9.8
2024-10-08,22.2,16.7,18.50,65,8.1
2024-10-09,21.6,15.8,19.70,65,11.3
2024-10-10,20.0,16.2,11.80,61,9.2
2024-10-11,21.1,15.1,26.00,63,7.6
2024-10-12,21.7,16.4,16.00,61,10.1
2024-10-13,20.4,15.9,35.10,65,8.9
2024-10-14,19.2,15.7,18.90,61,7.6
2024-10-15,20.0,15.8,10.50,61,12.1
2024-10-16,20.4,15.8,8.60,61,12.7
2024-10-17,21.0,16.1,6.50,61,14.9
2024-10-18,22.1,15.4,2.30,53,11.4
2024-10-19,21.7,15.9,8.30,63,8.9
2024-10-20,22.2,15.7,10.50,63,7.2
2024-10-21,21.5,15.7,11.50,63,8.5
2024-10-22,22.4,15.8,13.50,65,7.4
2024-10-23,22.3,16.0,53.10,65,8.0
2024-10-24,21.8,15.5,4.70,53,10.4
2024-10-25,22.0,15.7,15.80,63,8.4
2024-10-26,21.8,15.3,13.40,63,6.8
2024-10-27,21.6,14.6,2.40,53,11.2
2024-10-28,21.8,14.2,0.50,51,9.4
2024-10-29,22.7,15.5,1.20,53,12.1
2024-10-30,22.1,15.2,4.70,63,7.9
2024-10-31,22.8,15.5,3.20,55,6.4
2024-11-01,22.8,15.6,31.90,65,6.2
2024-11-02,21.3,15.5,61.00,65,9.2
2024-11-03,22.6,14.2,8.10,63,7.7
2024-11-04,21.1,14.9,34.60,65,7.2
2024-11-05,21.7,14.4,6.70,61,7.9
2024-11-06,21.3,13.5,3.70,53,7.8
2024-11-07,21.8,13.5,10.70,63,6.3
2024-11-08,21.6,15.8,14.70,63,6.4
2024-11-09,23.2,13.7,1.10,51,8.9
2024-11-10,22.5,13.6,0.00,3,7.9
2024-11-11,21.4,12.8,3.80,53,8.7
2024-11-12,22.1,14.5,2.50,53,6.2
2024-11-13,23.2,15.1,2.50,53,8.1
2024-11-14,22.6,16.0,8.70,63,8.2
2024-11-15,21.6,16.2,7.00,63,10.7
2024-11-16,22.3,16.1,2.30,53,10.4
2024-11-17,23.6,15.2,1.30,51,11.0
2024-11-18,22.2,15.9,1.80,53,14.3
2024-11-19,21.9,15.2,7.00,63,8.8
2024-11-20,19.2,15.4,12.40,61,8.0
2024-11-21,22.9,16.2,1.60,51,8.5
2024-11-22,22.5,15.6,3.90,53,9.4
2024-11-23,22.1,14.6,1.30,51,8.6
2024-11-24,22.3,13.9,1.70,53,8.4
2024-11-25,21.9,13.1,1.80,53,7.4
2024-11-26,19.8,15.0,16.60,63,6.7
2024-11-27,18.6,15.3,11.80,63,13.9
2024-11-28,22.7,15.2,0.00,3,9.6
2024-11-29,22.4,15.5,2.20,53,7.8
2024-11-30,21.1,15.5,3.00,53,12.7
2024-12-01,20.9,16.3,8.30,63,14.3
2024-12-02,19.2,16.7,18.10,63,17.3
2024-12-03,21.9,16.9,10.40,61,11.0
2024-12-04,23.6,15.3,0.20,51,10.9
2024-12-05,23.4,15.3,1.70,51,9.4
2024-12-06,23.5,14.5,0.90,51,9.8
2024-12-07,23.2,14.5,1.90,53,6.8
2024-12-08,22.8,14.2,5.70,61,8.9
2024-12-09,22.9,13.6,2.80,61,6.0
2024-12-10,22.1,13.9,0.40,51,7.3
2024-12-11,22.4,13.2,0.00,3,6.9
2024-12-12,18.3,15.7,44.80,63,6.8
2024-12-13,20.3,17.0,20.70,63,8.4
2024-12-14,22.4,15.7,1.80,55,11.8
2024-12-15,23.6,13.9,1.80,53,12.0
2024-12-16,23.5,14.0,4.90,61,8.5
2024-12-17,22.6,14.4,7.20,63,10.1
2024-12-18,22.4,13.7,0.00,3,11.7
2024-12-19,23.0,14.6,2.90,53,10.7
2024-12-20,23.9,13.8,0.80,51,10.7
2024-12-21,22.9,14.7,1.50,53,11.2
2024-12-22,22.1,13.7,0.00,3,11.7
2024-12-23,21.1,14.1,0.00,3,11.5
2024-12-24,21.8,13.1,1.20,53,11.3
2024-12-25,22.5,11.6,0.90,51,9.2
2024-12-26,22.7,12.5,2.20,53,8.2
2024-12-27,22.8,15.4,0.80,53,8.9
2024-12-28,23.2,15.3,0.90,53,11.5
2024-12-29,22.5,13.8,0.70,51,9.3
2024-12-30,22.3,14.6,2.90,53,8.1
2024-12-31,22.7,15.6,2.00,53,17.1
2025-01-01,24.0,12.9,0.00,3,15.3
2025-01-02,23.5,13.5,0.00,3,15.2
