time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,31.4,24.3,7.30,63,7.9
2024-08-23,30.3,23.6,8.20,61,8.9
2024-08-24,32.1,23.5,11.90,65,5.8
2024-08-25,32.8,24.2,10.50,63,6.6
2024-08-26,32.4,24.4,2.80,61,6.4
2024-08-27,32.7,23.8,27.80,63,8.2
2024-08-28,31.4,23.9,5.10,63,10.1
2024-08-29,30.6,23.5,9.10,63,14.2
2024-08-30,31.9,23.7,15.30,65,9.4
2024-08-31,33.5,23.7,0.00,1,8.5
2024-09-01,32.8,23.6,0.40,51,10.4
2024-09-02,31.2,24.0,9.50,63,10.6
2024-09-03,31.2,24.8,1.50,55,7.9
2024-09-04,28.8,23.0,22.60,65,5.4
2024-09-05,29.1,23.0,5.20,61,4.9
2024-09-06,28.6,23.3,8.20,63,7.6
2024-09-07,30.5,22.5,3.10,55,9.4
2024-09-08,33.1,24.1,0.00,3,7.6
2024-09-09,32.7,24.0,0.50,51,8.2
2024-09-10,31.1,24.2,1.10,53,6.6
2024-09-11,32.4,23.5,0.20,51,8.1
2024-09-12,26.6,23.6,90.50,65,5.2
2024-09-13,25.7,22.3,34.20,63,6.5
2024-09-14,28.9,21.7,3.70,61,4.9
2024-09-15,29.4,21.8,1.10,51,9.4
2024-09-16,31.1,21.7,0.00,1,7.8
2024-09-17,31.5,21.5,14.40,63,9.3
2024-09-18,25.0,22.8,24.00,61,7.4
2024-09-19,32.1,22.3,6.60,61,7.8
2024-09-20,31.8,22.6,0.00,1,9.2
2024-09-21,31.8,22.3,0.60,51,9.5
2024-09-22,33.4,22.3,0.00,3,6.2
2024-09-23,33.4,23.5,0.00,0,8.9
2024-09-24,33.2,23.0,0.00,1,7.7
2024-09-25,30.8,24.4,2.30,53,8.9
2024-09-26,29.3,23.9,20.10,65,6.6
2024-09-27,29.8,23.3,1.80,53,5.8
2024-09-28,28.1,22.2,3.70,61,9.1
2024-09-29,30.6,22.5,1.10,51,8.0
2024-09-30,30.0,20.7,0.10,51,11.0
2024-10-01,30.4,20.4,0.00,2,9.1
2024-10-02,31.9,20.2,0.00,2,8.6
2024-10-03,31.5,19.8,0.00,2,7.9
2024-10-04,30.8,20.2,0.00,0,7.9
2024-10-05,32.0,19.8,0.00,1,7.7
2024-10-06,31.2,19.2,0.00,0,8.0
2024-10-07,29.5,18.8,0.20,51,9.2
2024-10-08,30.0,20.1,0.00,1,6.9
2024-10-09,29.9,18.8,0.00,1,7.8
2024-10-10,29.9,19.3,0.00,3,7.5
2024-10-11,29.8,17.3,0.00,0,8.5
2024-10-12,29.2,16.2,0.00,0,8.3
2024-10-13,28.8,17.8,0.00,0,9.2
2024-10-14,29.0,18.0,0.00,2,8.3
2024-10-15,29.6,16.9,0.00,0,9.3
2024-10-16,28.2,16.5,0.00,3,10.3
2024-10-17,29.0,17.0,0.00,1,9.1
2024-10-18,28.9,16.8,0.00,1,8.4
2024-10-19,30.3,16.7,0.00,0,7.8
2024-10-20,29.9,16.3,0.00,0,8.7
2024-10-21,29.3,16.3,0.00,1,7.5
2024-10-22,29.3,16.6,0.00,0,8.0
2024-10-23,31.7,16.8,0.00,1,8.7
2024-10-24,32.3,16.4,0.00,0,10.5
2024-10-25,29.2,15.0,0.00,0,8.0
2024-10-26,28.1,17.2,0.00,1,7.2
2024-10-27,28.9,18.2,0.00,1,7.4
2024-10-28,29.0,18.1,0.00,1,7.5
2024-10-29,30.0,18.2,0.00,2,7.9
2024-10-30,30.2,16.7,0.00,0,8.7
2024-10-31,29.5,16.8,0.00,0,8.7
2024-11-01,27.7,15.2,0.00,0,7.8
2024-11-02,27.6,16.3,0.00,0,8.2
2024-11-03,28.2,15.4,0.00,0,7.5
2024-11-04,27.9,17.2,0.00,0,8.3
2024-11-05,26.9,17.1,0.20,51,7.0
2024-11-06,28.2,16.7,0.00,0,8.3
2024-11-07,27.2,15.8,0.00,0,7.4
2024-11-08,27.0,16.8,0.00,2,7.6
2024-11-09,26.1,16.5,0.00,2,7.5
2024-11-10,27.4,15.5,0.00,2,8.9
2024-11-11,27.2,15.6,0.00,0,8.4
2024-11-12,27.4,14.7,0.00,1,10.1
2024-11-13,25.9,13.6,0.00,0,8.2
2024-11-14,25.2,12.5,0.00,3,8.8
2024-11-15,24.0,13.1,0.00,3,7.7
2024-11-16,23.5,11.9,0.00,2,9.6
2024-11-17,24.3,10.8,0.00,2,9.8
2024-11-18,22.1,10.4,0.00,3,8.7
2024-11-19,21.9,10.5,0.00,1,8.4
2024-11-20,22.1,9.5,0.00,3,10.1
2024-11-21,22.8,9.5,0.00,0,7.9
2024-11-22,22.5,9.1,0.00,3,8.1
2024-11-23,22.2,10.2,0.00,1,8.4
2024-11-24,23.6,10.7,0.00,0,8.0
2024-11-25,23.0,9.7,0.00,0,8.8
2024-11-26,21.0,8.2,0.00,0,6.7
2024-11-27,20.7,8.2,0.00,0,6.1
2024-11-28,22.0,8.8,0.00,1,7.8
2024-11-29,22.3,8.4,0.00,0,7.5
