time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,29.1,23.7,10.20,63,10.2
2024-08-23,28.6,24.0,38.80,65,10.8
2024-08-24,29.6,23.3,7.50,63,10.5
2024-08-25,28.3,23.3,21.70,63,20.3
2024-08-26,26.2,21.6,20.80,63,24.8
2024-08-27,24.4,21.1,28.30,63,33.0
2024-08-28,24.8,21.4,9.20,55,28.7
2024-08-29,27.7,22.3,8.70,55,26.3
2024-08-30,28.7,22.3,1.90,51,16.2
2024-08-31,29.6,22.1,4.50,61,11.5
2024-09-01,30.5,22.7,6.40,61,7.8
2024-09-02,29.6,23.6,21.80,65,14.2
2024-09-03,27.3,22.7,29.20,63,11.9
2024-09-04,27.5,22.8,11.40,61,17.9
2024-09-05,26.6,22.5,37.60,63,12.3
2024-09-06,29.5,23.1,5.20,63,18.0
2024-09-07,26.5,23.5,20.10,65,14.6
2024-09-08,29.3,23.5,11.30,63,17.1
2024-09-09,29.4,23.2,2.50,51,17.6
2024-09-10,28.6,22.8,12.10,63,11.9
2024-09-11,29.4,23.1,1.30,51,17.4
2024-09-12,29.7,23.5,1.40,53,21.0
2024-09-13,28.2,22.4,0.50,51,21.5
2024-09-14,28.0,21.3,0.70,51,16.5
2024-09-15,28.8,20.7,0.30,51,13.8
2024-09-16,29.7,19.2,0.00,1,10.8
2024-09-17,30.3,19.4,0.00,3,12.7
2024-09-18,30.5,21.9,0.00,2,15.9
2024-09-19,30.9,22.1,0.00,0,18.3
2024-09-20,30.0,22.4,0.00,3,13.0
2024-09-21,29.9,22.5,0.40,51,9.4
2024-09-22,31.3,23.3,1.10,51,10.9
2024-09-23,31.7,22.8,0.30,51,11.3
2024-09-24,32.0,23.6,0.10,51,11.0
2024-09-25,31.8,23.9,1.00,51,12.6
2024-09-26,31.1,23.7,8.20,63,13.9
2024-09-27,29.6,22.9,7.20,63,12.4
2024-09-28,28.3,23.3,0.20,51,12.4
2024-09-29,29.7,22.7,0.20,51,10.7
2024-09-30,30.8,23.3,0.30,51,8.4
2024-10-01,32.4,22.3,0.00,1,14.9
2024-10-02,32.5,22.0,0.00,0,10.6
2024-10-03,31.6,23.0,0.00,1,16.0
2024-10-04,30.6,21.3,0.00,2,13.3
2024-10-05,30.6,20.9,0.00,1,11.3
2024-10-06,30.8,19.7,0.00,1,9.5
2024-10-07,31.2,20.7,0.00,1,10.0
2024-10-08,31.6,21.7,0.00,2,8.4
2024-10-09,32.0,21.4,0.10,51,6.7
2024-10-10,29.4,23.0,1.20,53,10.8
2024-10-11,27.5,22.1,4.10,61,9.8
2024-10-12,28.0,21.5,2.90,53,13.6
2024-10-13,27.6,20.5,3.90,61,12.1
2024-10-14,29.0,20.6,1.70,53,10.2
2024-10-15,29.7,21.2,0.00,3,12.2
2024-10-16,30.7,20.0,0.00,2,10.3
2024-10-17,31.1,19.8,0.00,2,10.1
2024-10-18,31.1,19.6,0.00,3,10.4
2024-10-19,31.8,20.0,0.00,3,8.4
2024-10-20,30.6,19.9,0.00,1,8.2
2024-10-21,30.3,21.2,0.20,51,11.6
2024-10-22,30.6,20.6,0.30,51,13.4
2024-10-23,29.9,20.3,0.20,51,10.3
2024-10-24,31.6,20.7,0.00,0,14.4
2024-10-25,31.7,19.5,0.00,3,11.5
2024-10-26,33.4,19.8,0.00,0,16.0
2024-10-27,34.2,20.8,0.00,2,15.2
2024-10-28,34.1,21.8,0.00,0,8.9
2024-10-29,33.8,21.4,0.00,3,10.4
2024-10-30,33.1,21.0,0.00,3,10.0
2024-10-31,32.6,20.4,0.00,0,12.9
2024-11-01,32.7,19.7,0.00,0,8.0
2024-11-02,31.7,19.4,0.00,0,9.4
2024-11-03,31.4,19.2,0.00,0,7.7
2024-11-04,31.4,19.5,0.00,0,10.2
2024-11-05,31.4,19.0,0.00,0,9.8
2024-11-06,31.9,18.9,0.00,0,8.6
2024-11-07,31.9,18.7,0.00,0,8.1
2024-11-08,32.0,19.0,0.00,0,8.3
2024-11-09,31.5,19.5,0.00,0,10.3
2024-11-10,31.3,18.6,0.00,0,9.7
2024-11-11,30.8,19.0,0.00,0,10.6
2024-11-12,30.0,18.3,0.00,0,8.7
2024-11-13,28.9,19.8,0.00,0,7.3
2024-11-14,28.4,18.2,0.00,0,6.8
2024-11-15,28.3,18.5,0.00,0,8.2
2024-11-16,28.4,18.3,0.00,0,9.7
2024-11-17,28.1,19.1,0.00,0,9.9
2024-11-18,26.8,17.3,0.00,0,11.5
2024-11-19,26.4,16.4,0.00,1,11.2
2024-11-20,25.6,15.5,0.00,0,10.6
2024-11-21,25.3,13.9,0.00,0,9.6
2024-11-22,24.5,13.4,0.00,0,9.2
2024-11-23,25.6,13.3,0.00,0,9.2
2024-11-24,25.8,14.6,0.00,2,9.5
2024-11-25,26.6,15.1,0.00,0,11.3
2024-11-26,27.8,15.8,0.00,0,11.6
2024-11-27,27.7,16.1,0.00,0,11.5
2024-11-28,26.2,16.5,0.00,0,12.4
2024-11-29,23.7,14.2,0.00,0,12.0
2024-11-30,23.1,12.9,0.00,0,13.7
2024-12-01,23.7,12.8,0.00,0,14.8
2024-12-02,24.3,13.4,0.00,0,13.6
2024-12-03,25.2,13.5,0.00,2,10.6
2024-12-04,25.2,14.2,0.00,3,11.4
2024-12-05,25.8,14.4,0.00,3,11.7
2024-12-06,25.6,14.7,0.00,3,12.8
2024-12-07,26.4,13.8,0.00,3,10.6
2024-12-08,25.2,14.2,0.00,0,14.3
2024-12-09,22.3,11.2,0.00,0,19.7
2024-12-10,19.7,9.7,0.00,2,12.7
2024-12-11,20.9,9.4,0.00,3,9.8
2024-12-12,21.8,9.7,0.00,3,11.4
2024-12-13,19.6,9.3,0.00,3,15.1
2024-12-14,21.4,9.0,0.00,0,8.5
2024-12-15,23.3,9.7,0.00,0,7.9
2024-12-16,24.8,10.6,0.00,0,7.9
2024-12-17,26.5,12.4,0.00,1,12.5
2024-12-18,23.5,10.8,0.00,3,10.6
2024-12-19,25.4,11.3,0.00,3,12.0
2024-12-20,24.5,11.7,0.00,1,12.3
2024-12-21,24.0,12.0,0.00,1,12.3
2024-12-22,24.0,12.3,0.00,3,13.2
2024-12-23,23.5,14.2,0.40,51,18.4
2024-12-24,23.0,12.7,0.00,1,14.8
2024-12-25,20.9,11.9,0.00,3,14.9
2024-12-26,23.9,13.4,0.90,53,12.1
2024-12-27,22.7,15.7,7.90,61,14.2
2024-12-28,22.7,13.5,0.00,3,14.2
2024-12-29,20.9,9.0,0.00,0,13.1
2024-12-30,20.9,7.9,0.00,0,8.0
2024-12-31,23.1,8.7,0.00,3,9.0
2025-01-01,23.9,10.3,0.00,3,9.8
2025-01-02,26.3,11.3,0.00,3,6.9
2025-01-03,27.7,14.3,0.00,0,9.6
2025-01-04,27.6,15.0,0.00,0,11.8
2025-01-05,27.1,13.3,0.00,0,13.9
2025-01-06,23.5,12.8,0.00,0,15.6
2025-01-07,21.2,8.9,0.00,0,15.1
2025-01-08,22.3,8.3,0.00,1,9.2
2025-01-09,23.9,9.6,0.00,0,7.6
2025-01-10,24.4,10.3,0.00,3,11.4
2025-01-11,23.9,14.0,0.20,51,20.1
2025-01-12,24.4,11.1,0.00,0,15.0
2025-01-13,19.1,7.6,0.00,2,13.3
2025-01-14,20.4,7.5,0.00,0,11.1
2025-01-15,20.9,11.1,0.40,51,11.2
2025-01-16,22.2,11.4,0.00,0,17.1
2025-01-17,20.0,9.3,0.00,0,13.4
2025-01-18,24.6,9.9,0.00,0,9.8
2025-01-19,27.1,14.8,0.00,0,12.8
2025-01-20,28.2,15.4,0.00,0,11.3
2025-01-21,27.7,14.7,0.00,0,13.0
2025-01-22,27.2,13.8,0.00,0,13.0
2025-01-23,25.2,14.9,0.00,0,13.8
2025-01-24,22.0,11.5,0.00,0,15.0
2025-01-25,23.4,10.5,0.00,0,10.2
2025-01-26,24.3,11.1,0.00,0,8.5
2025-01-27,26.0,12.4,0.00,0,10.3
2025-01-28,26.8,12.7,0.00,1,9.4
2025-01-29,29.7,14.7,0.00,0,14.0
2025-01-30,28.0,15.7,0.00,0,15.1
2025-01-31,26.8,13.1,0.00,0,14.4
2025-02-01,25.8,11.9,0.00,0,14.8
2025-02-02,24.2,13.5,0.00,0,12.8
2025-02-03,28.2,13.9,0.40,51,14.6
2025-02-04,26.5,15.6,0.00,3,16.8
2025-02-05,22.9,12.5,0.00,0,14.9
2025-02-06,22.3,10.9,0.00,0,15.3
2025-02-07,23.0,11.1,0.00,3,12.9
