time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-08-22,31.3,25.5,27.40,65,7.0
2024-08-23,29.8,24.9,10.40,61,18.1
2024-08-24,32.2,25.6,14.30,63,26.7
2024-08-25,32.1,25.3,4.80,61,17.4
2024-08-26,31.8,25.4,6.30,63,17.9
2024-08-27,29.9,25.2,33.40,63,18.7
2024-08-28,31.4,25.0,28.60,63,9.8
2024-08-29,31.8,24.2,5.90,63,9.5
2024-08-30,32.9,25.9,1.30,51,10.2
2024-08-31,33.0,26.4,7.20,63,9.4
2024-09-01,33.1,27.4,0.70,51,19.8
2024-09-02,32.9,26.6,1.10,53,20.5
2024-09-03,33.8,26.7,0.00,3,13.2
2024-09-04,32.5,26.6,8.60,63,10.5
2024-09-05,31.4,25.9,8.50,61,7.7
2024-09-06,32.3,25.7,3.90,61,13.8
2024-09-07,33.1,25.7,3.00,55,5.2
2024-09-08,32.7,26.2,6.80,63,10.2
2024-09-09,32.5,25.8,5.00,55,13.0
2024-09-10,32.6,27.3,2.20,55,24.4
2024-09-11,33.0,26.8,16.00,65,24.8
2024-09-12,32.2,27.2,2.90,61,16.8
2024-09-13,31.2,26.8,2.30,53,16.7
2024-09-14,31.6,25.3,0.30,51,20.2
2024-09-15,30.5,26.1,1.60,55,16.9
2024-09-16,31.3,25.3,14.00,63,28.8
2024-09-17,27.9,25.1,73.70,65,33.5
2024-09-18,32.1,25.7,0.00,3,21.7
2024-09-19,32.6,25.1,0.00,2,9.2
2024-09-20,32.7,24.7,0.00,3,8.4
2024-09-21,33.3,25.2,0.00,3,8.0
2024-09-22,34.2,25.0,0.00,3,11.5
2024-09-23,33.6,25.7,0.00,3,8.3
2024-09-24,32.5,25.7,0.10,51,12.4
2024-09-25,31.5,25.4,5.40,61,20.2
2024-09-26,29.9,25.2,17.70,63,19.9
2024-09-27,28.5,24.9,46.00,65,18.5
2024-09-28,30.3,24.8,17.50,63,19.1
2024-09-29,31.2,24.5,5.20,61,7.9
2024-09-30,31.9,24.9,0.70,51,16.4
2024-10-01,32.2,25.9,0.60,51,18.4
2024-10-02,32.5,25.1,0.70,53,16.5
2024-10-03,32.6,25.7,0.70,51,15.2
2024-10-04,32.8,24.2,0.10,51,10.0
2024-10-05,31.5,24.5,1.00,53,14.4
2024-10-06,31.2,24.4,2.10,61,15.2
2024-10-07,31.0,23.9,0.50,51,7.5
2024-10-08,32.0,24.1,0.30,51,7.0
2024-10-09,31.6,24.7,6.00,63,10.3
2024-10-10,32.0,24.2,0.00,3,10.6
2024-10-11,32.1,23.3,0.00,3,12.8
2024-10-12,31.2,23.6,0.00,3,8.7
2024-10-13,31.5,23.4,0.00,3,9.9
2024-10-14,30.8,22.7,0.10,51,6.5
2024-10-15,31.1,22.9,0.00,3,6.8
2024-10-16,31.4,22.8,0.30,51,6.8
2024-10-17,30.9,23.5,0.20,51,7.9
2024-10-18,31.4,22.9,0.00,3,7.8
